English_Marks,Hindi_Marks
51,39
36,40
55,12
61,36
8,12
35,NT
65,47
48,10
9,18
35,30
5,8
40,40
106,70
0,0
11,17
42,39
19,38
16,35
75,74
30,35
43,9
60,50
78,35
11,NT
35,35
15,35
9,NT
46,45
50,35
55,15
61,43
36,50
35,35
120,76
60,31
35,17
30,35
83,35
106,89
55,36
30,51
63,35
17,15
35,NT
0,NT
35,38
36,7
35,41
55,41
54,61
38,35
35,NT
35,9
44,47
69,57
3,10
87,47
30,35
76,36
71,44
35,35
35,40
76,41
88,56
95,35
87,61
78,83
14,11
30,37
74,71
16,13
53,30
12,11
40,49
37,13
11,17
85,NT
71,8
45,42
92,75
44,35
42,35
39,35
85,87
44,35
7,12
63,60
85,69
6,10
94,51
75,76
51,35
50,40
72,46
30,48
35,35
107,81
30,40
18,35
80,70
37,55
50,35
56,30
112,68
35,19
8,16
35,12
35,35
51,65
65,5
35,19
77,85
30,40
96,10
58,74
42,54
0,49
76,67
112,74
104,60
35,35
78,68
17,5
66,74
78,75
35,40
51,30
43,55
8,10
92,72
35,11
82,73
58,40
40,13
55,35
67,46
84,35
120,89
38,35
75,55
37,35
109,35
35,35
80,58
12,35
82,41
38,41
30,35
50,54
41,35
90,86
38,75
38,54
90,91
62,NT
55,35
11,NT
35,35
35,14
90,42
101,67
72,61
46,71
30,30
9,9
85,60
94,35
0,0
23,10
35,6
61,67
40,14
90,62
37,NT
73,60
35,30
67,35
73,60
35,9
38,NT
78,49
60,30
98,98
47,19
52,67
35,35
16,9
35,35
35,NT
35,35
7,16
92,48
35,35
44,NT
48,20
122,30
35,45
53,11
18,19
48,64
75,60
35,17
91,78
35,67
89,59
45,35
11,15
11,NT
65,70
22,18
97,79
91,89
35,35
82,84
58,42
43,74
35,35
113,70
7,10
35,30
40,30
35,35
81,50
38,35
15,10
55,57
37,35
53,30
111,75
98,98
30,42
30,30
35,38
30,30
58,46
35,35
93,115
9,10
35,15
41,NT
77,75
52,30
103,39
36,45
19,6
85,86
110,35
16,8
30,31
35,12
8,7
4,9
55,14
76,91
69,71
35,NT
35,35
89,85
30,30
52,14
30,30
0,0
17,35
35,NT
80,90
30,47
90,93
53,62
33,60
96,NT
30,35
11,10
0,0
45,37
89,65
103,46
53,14
99,35
35,35
0,NT
85,43
90,64
57,30
100,13
30,30
30,35
43,79
35,37
51,35
49,30
61,43
45,35
11,35
35,35
80,74
48,30
37,50
90,14
84,70
10,NT
44,19
36,8
61,72
57,54
35,70
100,80
70,71
13,35
31,40
35,NT
94,88
41,65
7,5
50,NT
110,85
30,45
35,35
58,42
17,39
30,30
9,NT
54,30
52,47
11,17
58,35
44,35
71,30
47,45
77,39
32,41
35,35
35,35
82,90
46,39
16,10
6,5
44,55
77,76
106,61
46,35
35,35
35,35
81,57
70,45
72,NT
53,7
35,30
21,35
7,11
52,68
41,41
15,11
35,42
63,NT
35,37
30,30
60,41
87,NT
35,35
83,44
60,35
30,30
95,30
