L1_MARKS_CORRECTED,L2_MARKS_CORRECTED,L3_MARKS_CORRECTED,S1_MARKS_CORRECTED,S2_MARKS_CORRECTED,S3_MARKS_CORRECTED,TOTAL_MARKS,NRC_RESULT
90,51,39,30,30,60,300,P
60,36,40,52,35,46,269,P
55,46,12,38,19,18,188,F
16,61,36,52,68,61,294,F
8,6,12,10,20,19,75,F
111,35,8,36,38,21,249,F
67,65,47,57,48,67,351,P
48,13,10,15,21,17,124,F
15,9,18,37,35,36,150,F
88,35,30,63,52,66,334,P
3,5,8,18,20,6,60,F
11,40,40,35,53,23,202,F
106,94,70,40,58,74,442,P
N\A,N\A,N\A,N\A,0,N\A,0,F
11,17,17,19,16,45,125,F
62,42,39,76,39,36,294,P
19,35,38,40,21,16,169,F
16,16,35,43,35,12,157,F
57,75,74,30,48,85,369,P
47,30,35,30,35,53,230,P
68,43,9,35,20,35,210,F
85,60,50,45,51,64,355,P
54,78,35,62,70,88,387,P
23,11,7,16,19,11,87,F
10,35,35,16,21,14,131,F
62,15,35,8,9,35,164,F
54,9,5,5,15,9,97,F
47,46,45,46,61,69,314,P
51,50,35,30,30,30,226,P
17,55,15,26,35,71,219,F
38,61,43,54,55,47,298,P
44,36,50,36,30,44,240,P
20,35,35,14,14,36,154,F
120,94,76,53,48,68,459,P
96,60,31,49,51,68,355,P
54,35,17,19,30,37,192,F
50,30,35,55,35,30,235,P
83,60,35,11,25,35,249,F
106,97,89,70,66,91,519,P
55,60,36,57,48,60,316,P
51,30,51,34,30,44,240,P
63,13,35,25,36,78,250,F
53,17,15,30,27,35,177,F
44,35,42,36,11,39,207,F
N\A,N\A,N\A,N\A,0,N\A,0,F
48,35,38,9,43,30,203,F
20,36,7,12,30,35,140,F
38,35,41,30,40,42,226,P
55,30,41,52,41,30,249,P
54,67,61,56,40,67,345,P
8,38,35,35,48,56,220,F
81,35,35,9,20,19,199,F
6,35,9,14,27,21,112,F
44,14,47,30,50,35,220,F
52,69,57,39,35,62,314,P
5,3,10,5,5,4,32,F
80,87,47,70,66,66,416,P
106,30,35,51,35,72,329,P
63,76,36,30,30,39,274,P
98,71,44,41,37,60,351,P
N\A,35,35,N\A,0,N\A,70,F
46,35,40,36,30,57,244,P
83,76,41,36,38,80,354,P
56,88,56,54,76,85,415,P
95,74,35,53,35,41,333,P
92,87,61,59,48,44,391,P
117,78,83,74,69,81,502,P
12,14,11,19,16,12,84,F
57,30,37,50,37,57,268,P
88,74,71,45,59,63,400,P
16,35,13,5,7,1,77,F
61,53,30,30,35,41,250,P
2,12,11,12,11,9,57,F
81,40,49,59,51,54,334,P
17,37,13,13,19,10,109,F
14,11,17,9,14,22,87,F
105,85,68,44,51,72,425,P
32,71,8,30,19,45,205,F
82,45,42,64,35,57,325,P
92,90,75,62,59,47,425,P
44,35,35,6,8,59,187,F
18,42,35,47,30,42,214,F
57,39,35,64,40,43,278,P
105,85,87,78,61,87,503,P
44,35,35,N\A,0,N\A,114,F
20,7,12,30,45,35,149,F
68,63,60,67,48,58,364,P
106,85,69,53,42,75,430,P
3,6,10,4,16,12,51,F
94,75,51,53,44,72,389,P
67,75,76,63,67,77,425,P
50,51,35,40,11,24,211,F
76,50,40,35,41,45,287,P
44,72,46,68,50,63,343,P
61,30,48,43,42,52,276,P
11,35,35,13,12,9,115,F
107,78,81,78,74,86,504,P
47,30,40,40,41,40,238,P
46,18,35,35,30,41,205,F
87,80,70,62,65,64,428,P
70,37,55,42,35,30,269,P
13,50,35,30,35,57,220,F
56,39,30,30,35,39,229,P
112,90,68,67,70,75,482,P
20,35,19,47,13,38,172,F
8,13,16,30,17,30,114,F
8,35,12,11,23,6,95,F
47,35,35,35,22,35,209,F
79,51,65,35,35,47,312,P
65,35,5,10,9,54,178,F
31,35,19,39,20,35,179,F
99,77,85,57,61,84,463,P
44,30,40,30,40,35,219,P
96,46,10,8,43,17,220,F
104,58,74,66,49,71,422,P
102,42,54,64,47,68,377,P
61,N\A,49,35,35,35,215,F
73,76,67,66,70,83,435,P
112,63,74,53,76,76,454,P
104,98,60,76,74,86,498,P
5,35,35,35,38,30,178,F
73,78,68,77,76,75,447,P
10,17,5,8,23,46,109,F
108,66,74,83,69,86,486,P
80,78,75,51,47,59,390,P
5,35,40,57,35,30,202,F
56,51,30,40,49,84,310,P
61,43,55,60,50,44,313,P
33,8,10,16,30,10,107,F
92,86,72,53,51,35,389,P
5,35,11,15,37,36,139,F
83,82,73,45,57,61,401,P
58,38,40,42,47,52,277,P
57,40,13,35,30,35,210,F
47,55,35,51,38,30,256,P
47,67,46,30,35,72,297,P
84,55,35,13,30,13,230,F
120,97,89,88,88,86,568,P
7,38,35,41,13,35,169,F
53,75,55,30,42,48,303,P
21,37,35,30,35,30,188,F
109,77,35,30,21,21,293,F
29,35,35,35,35,35,204,F
99,80,58,75,52,72,436,P
31,12,35,37,21,35,171,F
82,41,41,44,51,40,299,P
38,42,41,61,40,61,283,P
64,30,35,48,46,36,259,P
100,50,54,64,40,35,343,P
13,41,35,21,30,22,162,F
103,90,86,78,51,96,504,P
86,38,75,51,44,57,351,P
38,72,54,62,37,64,327,P
90,96,91,55,72,81,485,P
61,62,60,58,54,60,355,P
39,55,35,35,30,60,254,P
56,11,9,17,16,17,126,F
83,35,35,60,30,35,278,P
47,35,14,41,16,35,188,F
90,30,42,36,46,65,309,P
101,74,67,55,37,43,377,P
70,72,61,49,55,80,387,P
82,46,71,53,46,58,356,P
62,30,30,30,37,37,226,P
10,9,9,19,16,37,100,F
85,85,60,55,50,74,409,P
94,35,35,37,30,30,261,P
N\A,N\A,N\A,N\A,0,N\A,0,F
23,35,10,17,16,22,123,F
6,35,6,21,50,40,158,F
86,61,67,59,66,53,392,P
82,40,14,35,40,74,285,F
60,90,62,78,70,92,452,P
64,37,30,45,52,41,269,P
53,73,60,30,41,60,317,P
38,35,30,52,35,74,264,P
67,50,35,40,39,67,298,P
60,73,60,55,52,73,373,P
57,35,9,18,24,14,157,F
68,38,17,13,19,18,173,F
86,78,49,44,53,77,387,P
73,60,30,39,30,41,273,P
123,98,98,93,97,98,607,P
50,47,19,35,25,18,194,F
91,52,67,79,62,61,412,P
5,35,35,36,35,71,217,F
16,4,9,10,35,37,111,F
48,35,35,20,22,37,197,F
100,35,19,14,19,30,217,F
49,35,35,35,35,30,219,P
7,35,16,8,30,40,136,F
38,92,48,63,55,75,371,P
4,35,35,35,8,8,125,F
45,44,40,30,38,30,227,P
48,21,20,35,35,35,194,F
122,62,30,40,57,50,361,P
30,35,45,6,5,10,131,F
46,53,11,22,23,19,174,F
18,42,19,20,25,18,142,F
93,48,64,30,40,81,356,P
92,75,60,70,65,79,441,P
13,35,17,49,41,30,185,F
86,91,78,44,30,76,405,P
86,35,67,54,35,47,324,P
89,79,59,46,43,63,379,P
16,45,35,41,45,40,222,F
54,11,15,30,20,22,152,F
54,11,36,6,9,10,126,F
102,65,70,67,45,70,419,P
22,8,18,6,24,35,113,F
97,82,79,48,57,85,448,P
102,91,89,77,78,96,533,P
44,35,35,30,31,35,210,F
104,82,84,81,72,85,508,P
18,58,42,35,32,30,215,F
62,43,74,30,35,30,274,P
44,35,35,36,26,16,192,F
113,85,70,49,47,62,426,P
9,7,10,30,21,15,92,F
46,35,30,37,36,35,219,P
38,40,30,50,35,48,241,P
44,35,35,16,18,15,163,F
81,52,50,62,41,53,339,P
6,38,35,12,30,18,139,F
38,15,10,43,25,20,151,F
6,55,57,60,35,73,286,F
108,37,35,37,30,35,282,P
44,53,30,44,30,30,231,P
111,93,75,53,52,82,466,P
106,98,98,81,81,92,556,P
38,30,42,43,39,57,249,P
72,30,30,35,35,46,248,P
7,35,38,23,22,30,155,F
65,30,30,35,30,30,220,P
82,58,46,50,53,79,368,P
6,35,35,30,38,35,179,F
115,93,93,86,83,81,551,P
19,9,10,6,19,10,73,F
11,35,15,10,35,50,156,F
82,41,30,43,37,37,270,P
68,77,75,64,51,76,411,P
38,52,30,50,35,58,263,P
103,61,39,35,54,68,360,P
53,36,45,62,44,52,292,P
5,19,6,19,16,15,80,F
82,85,86,61,84,70,468,P
110,43,35,42,53,47,330,P
19,16,8,17,24,21,105,F
92,30,31,36,35,38,262,P
60,35,12,12,35,37,191,F
2,8,7,16,18,9,60,F
4,5,9,13,14,21,66,F
55,52,14,14,23,35,193,F
77,76,91,73,48,82,447,P
98,69,71,62,57,79,436,P
52,35,17,18,15,12,149,F
31,35,35,30,20,10,161,F
89,89,85,84,88,83,518,P
49,30,30,30,45,62,246,P
15,52,14,18,35,19,153,F
71,30,30,47,36,36,250,P
53,N\A,N\A,35,44,50,182,F
20,17,35,8,9,18,107,F
86,35,30,47,30,30,258,P
113,80,90,77,66,88,514,P
38,30,47,49,35,30,229,P
115,90,93,80,81,97,556,P
56,53,62,55,37,59,322,P
33,38,60,19,24,56,230,F
122,96,93,88,94,99,592,P
73,30,35,65,37,81,321,P
38,11,10,22,19,11,111,F
N\A,N\A,N\A,N\A,0,N\A,0,F
61,45,37,31,44,35,253,P
76,89,65,53,75,75,433,P
103,83,46,58,61,84,435,P
18,53,14,37,35,23,180,F
99,65,35,30,47,56,332,P
11,35,35,30,30,21,162,F
N\A,N\A,N\A,N\A,0,N\A,0,F
77,85,43,62,71,87,425,P
90,71,64,59,61,69,414,P
76,57,30,30,40,47,280,P
100,35,13,22,36,53,259,F
56,30,30,30,40,54,240,P
38,30,35,44,44,40,231,P
79,43,79,53,58,54,366,P
44,35,37,41,30,38,225,P
10,51,35,38,23,54,211,F
65,49,30,52,36,40,272,P
47,61,43,56,50,57,314,P
45,35,35,35,39,35,224,P
39,11,35,37,37,30,189,F
3,35,35,11,16,37,137,F
80,62,74,36,35,37,324,P
70,48,30,35,35,39,257,P
N\A,37,50,65,42,80,274,F
90,12,14,30,30,30,206,F
84,89,70,65,59,53,420,P
44,10,N\A,36,35,N\A,125,F
44,5,19,18,22,36,144,F
3,36,8,36,13,22,118,F
100,61,72,63,46,41,383,P
83,57,54,50,30,35,309,P
68,35,70,81,59,75,388,P
100,93,80,61,52,68,454,P
92,70,71,64,45,65,407,P
52,13,35,15,14,35,164,F
72,31,40,67,30,40,280,P
44,35,35,12,14,10,150,F
118,94,88,85,93,91,569,P
83,41,65,82,53,58,382,P
2,7,5,2,1,1,18,F
25,50,35,20,20,42,192,F
110,88,85,61,67,58,469,P
46,30,45,35,30,41,227,P
44,35,35,17,16,35,182,F
89,58,42,63,54,64,370,P
20,17,39,12,23,50,161,F
38,30,30,41,42,46,227,P
44,9,4,14,18,10,99,F
54,44,30,61,38,35,262,P
66,52,47,63,66,72,366,P
6,11,17,16,18,37,105,F
58,50,35,37,35,51,266,P
44,14,35,53,40,44,230,F
39,71,30,35,46,66,287,P
95,47,45,75,47,62,371,P
92,77,39,42,55,44,349,P
65,32,41,35,30,50,253,P
15,35,35,14,31,36,166,F
8,35,35,42,40,47,207,F
89,82,90,71,48,53,433,P
60,46,39,50,36,36,267,P
75,16,10,12,17,24,154,F
7,6,5,13,6,9,46,F
95,44,55,86,64,65,409,P
93,77,76,71,53,74,444,P
106,90,61,65,36,46,404,P
46,35,35,10,8,30,164,F
13,35,35,42,42,44,211,F
48,35,35,30,36,35,219,P
81,81,57,57,71,92,439,P
70,61,45,52,41,74,343,P
86,72,84,53,31,71,397,P
2,53,7,12,30,46,150,F
56,35,30,30,30,50,231,P
21,38,35,30,30,53,207,F
28,7,11,19,16,7,88,F
86,52,68,66,48,74,394,P
51,41,41,60,50,44,287,P
13,15,11,30,10,8,87,F
34,35,42,35,35,24,205,F
121,63,75,68,55,63,445,P
15,35,37,43,21,64,215,F
52,30,30,35,30,56,233,P
87,60,41,76,44,65,373,P
106,87,92,81,81,76,523,P
28,35,35,36,30,43,207,F
84,83,44,30,30,81,352,P
18,60,35,12,38,57,220,F
58,30,30,46,37,30,231,P
95,42,30,49,40,61,317,P
20,35,13,20,15,19,122,F
70,30,30,46,30,45,251,P
44,35,11,12,21,12,135,F
83,77,61,63,44,36,364,P
45,19,35,10,7,11,127,F
36,46,8,40,35,24,189,F
76,86,58,74,58,70,422,P
