L1_MARKS_CORRECTED,L1_Marks_Corrected,L2_MARKS_CORRECTED,L3_MARKS_CORRECTED,S1_MARKS_CORRECTED,S2_MARKS_CORRECTED,S3_MARKS_CORRECTED,L1_Marks_Class,L2_Marks_Class,L3_Marks_Class,S1_Marks_Class,S2_Marks_Class,S3_Marks_Class,NRC_CLASS
90,72,51,39,30,30,60,1,2,PASS,PASS,PASS,1,PASS
60,48,36,40,52,35,46,PASS,PASS,PASS,2,PASS,PASS,PASS
55,44,46,12,38,19,18,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL
16,12,61,36,52,68,61,FAIL,1,PASS,2,1,1,FAIL
8,6,6,12,10,20,19,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
111,88,35,8,36,38,21,D,PASS,FAIL,PASS,PASS,FAIL,FAIL
67,53,65,47,57,48,67,2,1,PASS,2,PASS,1,2
48,38,13,10,15,21,17,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
15,12,9,18,37,35,36,FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL
88,70,35,30,63,52,66,1,PASS,PASS,1,2,1,2
3,2,5,8,18,20,6,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
11,8,40,40,35,53,23,FAIL,PASS,PASS,PASS,2,FAIL,FAIL
106,84,94,70,40,58,74,1,D,1,PASS,2,1,1
N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
11,8,17,17,19,16,45,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
62,49,42,39,76,39,36,PASS,PASS,PASS,1,PASS,PASS,PASS
19,15,35,38,40,21,16,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL
16,12,16,35,43,35,12,FAIL,FAIL,PASS,PASS,PASS,FAIL,FAIL
57,45,75,74,30,48,85,PASS,1,1,PASS,PASS,D,2
47,37,30,35,30,35,53,PASS,PASS,PASS,PASS,PASS,2,PASS
68,54,43,9,35,20,35,2,PASS,FAIL,PASS,FAIL,PASS,FAIL
85,68,60,50,45,51,64,1,1,2,PASS,2,1,2
54,43,78,35,62,70,88,PASS,1,PASS,1,1,D,1
23,18,11,7,16,19,11,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
10,8,35,35,16,21,14,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL
62,49,15,35,8,9,35,PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL
54,43,9,5,5,15,9,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
47,37,46,45,46,61,69,PASS,PASS,PASS,PASS,1,1,2
51,40,50,35,30,30,30,PASS,2,PASS,PASS,PASS,PASS,PASS
17,13,55,15,26,35,71,FAIL,2,FAIL,FAIL,PASS,1,FAIL
38,30,61,43,54,55,47,PASS,1,PASS,2,2,PASS,PASS
44,35,36,50,36,30,44,PASS,PASS,2,PASS,PASS,PASS,PASS
20,16,35,35,14,14,36,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL
120,96,94,76,53,48,68,D,D,1,2,PASS,1,1
