SCHOOL_CODE,Pass Percentage,Observation,,,,,,,Mean,77.53852777
AN0001,20.00,Attention,,,,,,,Std Dev,32.10763301
AN0002,28.57,Attention,,,,,,,Root N,100.4689007
AN0004,50.00,Reward,,,,,,,Z-alpha,0.975
AN0005,0.00,Normal,,,,,,,Error,0.311588382
AN0006,90.48,Reward,,,,,,,Left,77.22693939
AN0007,28.57,Reward,,,,,,,Right,77.85011616
AN0008,41.67,Reward,,,,,,,,
AN0009,50.00,Reward,,,,,,,,
AN0010,0.00,Normal,,,,,,,,
AN0011,73.33,Reward,,,,,,,,
AN0012,0.00,Normal,,,,,,,,
AN0013,0.00,Normal,,,,,,,,
AN0015,0.00,Normal,,,,,,,,
AN0016,33.33,Reward,,,,,,,,
AN0017,0.00,Normal,,,,,,,,
AN0018,25.00,Reward,,,,,,,,
AN0019,0.00,Normal,,,,,,,,
AN0020,20.00,Reward,,,,,,,,
AN0022,100.00,Reward,,,,,,,,
AN0023,37.50,Reward,,,,,,,,
AN0024,44.44,Reward,,,,,,,,
AN0025,16.67,Reward,,,,,,,,
AN0026,0.00,Normal,,,,,,,,
AN0027,55.56,Reward,,,,,,,,
AN0028,50.00,Reward,,,,,,,,
AN0029,66.67,Reward,,,,,,,,
AN0030,89.47,Reward,,,,,,,,
AN0031,90.00,Reward,,,,,,,,
AN0032,66.67,Reward,,,,,,,,
AN0033,88.89,Reward,,,,,,,,
AN0035,0.00,Normal,,,,,,,,
AN0036,87.50,Reward,,,,,,,,
AN0037,100.00,Reward,,,,,,,,
AN0038,42.86,Reward,,,,,,,,
AN0039,100.00,Reward,,,,,,,,
AN0040,0.00,Normal,,,,,,,,
AN0041,0.00,Normal,,,,,,,,
AN0042,80.00,Reward,,,,,,,,
AN0043,77.78,Reward,,,,,,,,
AN0044,75.00,Reward,,,,,,,,
AN0045,66.67,Reward,,,,,,,,
AN0047,100.00,Reward,,,,,,,,
AN0049,0.00,Normal,,,,,,,,
AN0053,16.67,Reward,,,,,,,,
AN0054,100.00,Reward,,,,,,,,
AN0055,100.00,Reward,,,,,,,,
AN0057,50.00,Reward,,,,,,,,
AN0059,100.00,Reward,,,,,,,,
AN0060,0.00,Normal,,,,,,,,
AN0061,0.00,Normal,,,,,,,,
