SCHOOL_CODE,NRC_RESULT
AN0284,P
AN0278,P
AN0735,F
AN0324,F
AN0622,F
AN0024,F
AN0157,P
AN0541,F
AN0011,F
AN0302,P
AN0229,F
AN0556,F
AN0563,P
AN0230,F
AN0268,F
AN0395,P
AN0344,F
AN0794,F
AN0537,P
AN0094,P
AN0662,F
AN0261,P
AN0291,P
AN0015,F
AN0038,F
AN0167,F
AN0015,F
AN0312,P
AN0646,P
AN0060,F
AN0294,P
AN0114,P
AN0018,F
AN0071,P
AN0592,P
AN0352,F
AN0096,P
AN0382,F
AN0175,P
AN0543,P
AN0482,P
AN0130,F
AN0143,F
AN0204,F
AN0024,F
AN0690,F
AN0112,F
AN0565,P
AN0782,P
AN0415,P
AN0083,F
AN0824,F
AN0028,F
AN0442,F
AN0037,P
AN0019,F
AN0140,P
AN0124,P
AN0544,P
AN0098,P
AN0053,F
AN0640,P
AN0092,P
AN0662,P
AN0653,P
AN0404,P
AN0885,P
AN0587,F
AN0094,P
AN0180,P
AN0412,F
AN0124,P
AN0112,F
AN0185,P
AN0023,F
AN0339,F
AN0118,P
AN0662,F
AN0043,P
AN0483,P
AN0412,F
AN0100,F
AN0505,P
AN0083,P
AN0173,F
AN0185,F
AN0287,P
AN0618,P
AN0167,F
AN0837,P
AN0347,P
AN0026,F
AN0592,P
AN0710,P
AN0293,P
AN0074,F
AN0354,P
AN0114,P
AN0092,F
AN0036,P
AN0496,P
AN0152,F
AN0625,P
AN0787,P
AN0229,F
AN0545,F
AN0015,F
AN0165,F
AN0246,P
AN0130,F
AN0174,F
AN0233,P
AN0001,P
AN0130,F
AN0113,P
AN0186,P
AN0122,F
AN0669,P
AN0780,P
AN0354,P
AN0302,F
AN0474,P
AN0010,F
AN0411,P
AN0139,P
AN0174,F
AN0789,P
AN0190,P
AN0827,F
AN0585,P
AN0007,F
AN0529,P
AN0773,P
AN0634,F
AN0500,P
AN0664,P
AN0063,F
AN0244,P
AN0070,F
AN0249,P
AN0646,F
AN0071,F
AN0045,F
AN0152,P
AN0129,F
AN0520,P
AN0685,P
AN0186,P
AN0339,P
AN0434,F
AN0419,P
AN0111,P
AN0597,P
AN0478,P
AN0011,P
AN0401,P
AN0121,F
AN0290,P
AN0265,F
AN0584,P
AN0524,P
AN0036,P
AN0159,P
AN0754,P
AN0550,F
AN0648,P
AN0063,P
AN0811,F
AN0915,F
AN0007,F
AN0062,P
AN0123,F
AN0539,P
AN0179,P
AN0461,P
AN0142,P
AN0763,P
AN0253,P
AN0338,F
AN0015,F
AN0109,P
AN0281,P
AN0411,P
AN0199,F
AN0637,P
AN0401,F
AN0437,F
AN0073,F
AN0121,F
AN0011,P
AN0815,F
AN0030,P
AN0004,F
AN0846,P
AN0029,F
AN0527,P
AN0637,F
AN0544,F
AN0412,F
AN0365,P
AN0324,P
AN0356,F
AN0664,P
AN0029,P
AN0276,P
AN0038,F
AN0784,F
AN0015,F
AN0496,P
AN0527,F
AN0353,P
AN0617,P
AN0081,F
AN0615,P
AN0229,F
AN0472,P
AN0023,F
AN0252,P
AN0171,F
AN0167,P
AN0106,P
AN0027,F
AN0791,P
AN0470,F
AN0195,F
AN0747,F
AN0626,P
AN0500,P
AN0573,P
AN0116,P
AN0165,P
AN0094,P
AN0539,F
AN0114,P
AN0779,P
AN0007,F
AN0403,P
AN0015,F
AN0434,F
AN0517,P
AN0287,P
AN0879,P
AN0527,P
AN0167,P
AN0015,F
AN0656,P
AN0063,P
AN0095,F
AN0187,P
AN0016,F
AN0053,F
AN0833,F
AN0079,F
AN0858,P
AN0167,P
AN0023,F
AN0193,F
AN0690,P
AN0158,P
AN0018,F
AN0100,P
AN0308,F
AN0594,F
AN0071,P
AN0165,P
AN0243,P
AN0529,P
AN0593,P
AN0495,F
AN0091,P
AN0593,P
