DIST_CODE,Pass_Percentage,Result
AN,69.58%,Attention
AS,72.48%,Attention
BA,81.41%,Reward
BB,78.98%,Reward
CA,67.60%,Attention
CC,74.48%,Normal
DA,73.83%,Attention
DD,81.91%,Reward
EA,71.91%,Attention
EE,79.00%,Reward
FF,82.03%,Reward
GA,85.02%,Reward
GG,81.78%,Reward
HH,75.85%,Normal
IA,76.15%,Normal
II,78.95%,Reward
JJ,78.11%,Normal
KK,77.40%,Normal
LL,81.14%,Reward
MA,80.86%,Reward
MB,79.62%,Reward
MM,81.08%,Reward
NN,82.12%,Reward
OA,81.62%,Reward
OO,70.34%,Attention
PA,89.27%,Reward
PP,81.02%,Reward
QA,68.74%,Attention
QQ,67.58%,Attention
RA,73.12%,Attention
RR,76.25%,Normal
SS,54.88%,Attention
TT,71.83%,Attention
