SCHOOL_CODE,Pass_Percentage,Result
AN0001,20.00%,Attention
AN0002,28.57%,Attention
AN0004,50.00%,Attention
AN0005,0.00%,Attention
AN0006,90.48%,Reward
AN0007,28.57%,Attention
AN0008,41.67%,Attention
AN0009,50.00%,Attention
AN0010,0.00%,Attention
AN0011,73.33%,Attention
AN0012,0.00%,Attention
AN0013,0.00%,Attention
AN0015,0.00%,Attention
AN0016,33.33%,Attention
AN0017,0.00%,Attention
AN0018,25.00%,Attention
AN0019,0.00%,Attention
AN0020,20.00%,Attention
AN0022,100.00%,Reward
AN0023,37.50%,Attention
AN0024,44.44%,Attention
AN0025,16.67%,Attention
AN0026,0.00%,Attention
AN0027,55.56%,Attention
AN0028,50.00%,Attention
AN0029,66.67%,Attention
AN0030,89.47%,Reward
AN0031,90.00%,Reward
AN0032,66.67%,Attention
AN0033,88.89%,Reward
AN0035,0.00%,Attention
AN0036,87.50%,Reward
AN0037,100.00%,Reward
AN0038,42.86%,Attention
AN0039,100.00%,Reward
AN0040,0.00%,Attention
AN0041,0.00%,Attention
AN0042,80.00%,Reward
AN0043,77.78%,Normal
AN0044,75.00%,Attention
AN0045,66.67%,Attention
AN0047,100.00%,Reward
AN0049,0.00%,Attention
AN0053,16.67%,Attention
AN0054,100.00%,Reward
AN0055,100.00%,Reward
AN0057,50.00%,Attention
AN0059,100.00%,Reward
AN0060,0.00%,Attention
AN0061,0.00%,Attention
AN0062,100.00%,Reward
AN0063,47.06%,Attention
AN0065,0.00%,Attention
AN0068,0.00%,Attention
AN0070,33.33%,Attention
AN0071,60.00%,Attention
AN0072,100.00%,Reward
AN0073,0.00%,Attention
AN0074,0.00%,Attention
AN0075,66.67%,Attention
AN0076,33.33%,Attention
AN0077,100.00%,Reward
AN0079,52.38%,Attention
AN0080,70.00%,Attention
AN0081,80.00%,Reward
AN0083,22.22%,Attention
AN0084,50.00%,Attention
AN0090,100.00%,Reward
AN0091,100.00%,Reward
AN0092,71.43%,Attention
AN0093,28.57%,Attention
AN0094,52.63%,Attention
AN0095,0.00%,Attention
AN0096,66.67%,Attention
AN0098,25.00%,Attention
AN0099,50.00%,Attention
AN0100,70.00%,Attention
AN0101,100.00%,Reward
AN0102,100.00%,Reward
AN0104,75.00%,Attention
AN0106,83.33%,Reward
AN0107,0.00%,Attention
AN0108,100.00%,Reward
AN0109,100.00%,Reward
AN0111,42.86%,Attention
AN0112,0.00%,Attention
AN0113,66.67%,Attention
AN0114,100.00%,Reward
AN0116,100.00%,Reward
AN0118,100.00%,Reward
AN0119,100.00%,Reward
AN0120,100.00%,Reward
AN0121,0.00%,Attention
AN0122,50.00%,Attention
AN0123,50.00%,Attention
AN0124,40.00%,Attention
AN0125,100.00%,Reward
AN0126,100.00%,Reward
AN0127,100.00%,Reward
AN0128,50.00%,Attention
AN0129,33.33%,Attention
AN0130,0.00%,Attention
AN0131,100.00%,Reward
AN0133,100.00%,Reward
AN0136,66.67%,Attention
AN0138,0.00%,Attention
AN0139,100.00%,Reward
AN0140,80.00%,Reward
AN0141,33.33%,Attention
AN0142,41.67%,Attention
AN0143,33.33%,Attention
AN0144,75.00%,Attention
AN0148,16.67%,Attention
AN0149,100.00%,Reward
AN0150,83.33%,Reward
AN0152,50.00%,Attention
AN0153,100.00%,Reward
AN0156,50.00%,Attention
AN0157,100.00%,Reward
AN0158,100.00%,Reward
AN0159,85.71%,Reward
AN0160,100.00%,Reward
AN0161,83.33%,Reward
AN0162,100.00%,Reward
AN0164,50.00%,Attention
AN0165,66.67%,Attention
AN0166,66.67%,Attention
