SCHOOL_TYPE,URBAN_RURAL,NRC_CASTE_CODE,NRC_GENDER_CODE,NRC_MEDIUM,NRC_PHYSICAL_CONDITION,CANDIDATE_TYPE
A,U,1,G,E,N,RF
U,U,1,G,K,N,RF
U,U,1,B,E,N,NSR
U,U,1,B,E,N,RF
U,U,1,B,E,N,RF
A,U,1,G,E,N,RF
G,U,1,G,K,N,RF
U,U,1,G,E,N,RF
A,U,1,G,K,N,RF
G,U,1,B,K,N,RF
G,U,1,G,K,N,RF
A,U,1,G,K,N,NSR
U,U,1,G,E,N,RF
A,U,1,G,K,N,RF
U,U,1,B,E,N,PF
G,U,1,B,K,N,RF
U,U,1,B,E,N,RF
G,U,1,G,K,N,RF
U,U,1,G,E,N,RF
G,U,1,B,K,N,RF
U,U,1,B,E,N,RF
A,U,1,G,K,N,RF
U,U,1,B,E,N,RF
A,U,1,G,E,N,RF
A,U,1,G,E,N,RF
A,U,1,G,K,N,RSR
A,U,1,B,E,N,RF
U,U,1,G,E,N,RF
U,U,1,G,E,N,RF
A,U,1,G,E,N,RF
U,U,1,B,E,N,RF
A,U,1,B,K,N,RF
A,U,1,B,E,N,NSR
A,R,1,G,E,N,RF
U,U,1,B,K,N,RF
U,U,1,B,K,N,RF
G,U,1,G,K,N,RF
U,U,1,G,E,N,RF
U,U,1,G,E,N,RF
U,U,1,G,E,N,RF
U,U,1,B,K,N,RF
U,U,1,G,E,N,RF
A,U,1,G,K,N,RF
U,U,1,B,E,N,PF
A,U,1,G,E,N,PF
U,U,1,B,K,N,RF
G,U,1,B,E,N,NSR
U,R,1,G,E,N,RF
U,U,1,G,E,N,RF
U,U,1,B,E,N,RF
A,U,1,B,E,N,NSR
G,U,1,G,E,N,RF
A,U,1,G,E,N,RF
U,U,1,B,E,N,RF
A,U,1,G,E,N,RF
A,U,1,B,K,N,NSR
U,U,1,B,E,N,RF
A,U,1,G,K,N,RF
U,U,1,B,E,N,RF
G,U,1,G,E,N,RF
A,U,1,G,E,N,RSR
G,R,1,B,K,N,RF
A,U,1,B,K,N,RF
U,U,1,G,E,N,RF
U,U,1,G,E,N,RF
U,U,1,B,E,N,RF
G,U,1,G,K,N,RF
G,U,1,B,K,N,PF
G,U,1,B,K,N,RF
U,U,1,B,E,N,RF
U,U,1,B,E,N,NSPR
A,U,1,B,K,N,RF
G,U,1,B,E,N,PF
A,U,1,B,K,N,RF
A,U,1,G,E,N,RF
G,U,1,B,K,N,PF
A,U,1,B,E,N,RF
U,U,1,B,E,N,RF
A,U,1,G,K,N,RF
U,U,1,G,E,N,RF
U,U,1,B,E,N,NSPR
A,U,1,B,E,N,RF
U,U,1,G,K,N,RF
A,U,1,G,E,N,RF
U,U,1,B,E,N,RSR
A,U,1,G,K,N,RF
U,U,1,G,E,N,RF
U,U,1,G,E,N,RF
A,U,1,B,K,N,PF
U,U,1,B,E,N,RF
U,U,1,B,E,N,RF
G,U,1,B,K,N,NSR
U,U,1,B,K,N,RF
U,U,1,B,E,N,RF
U,U,1,G,K,N,RF
A,U,1,B,K,N,NSR
U,U,1,B,E,N,RF
A,U,1,B,K,N,NSR
A,U,1,G,K,N,RF
A,U,1,G,E,N,RF
U,U,1,B,E,N,RF
U,U,1,B,E,N,RF
U,R,1,B,E,N,RF
U,U,1,B,E,N,RF
G,U,1,B,K,N,RF
U,U,1,B,E,N,RF
A,U,1,B,E,N,RF
A,U,1,B,K,N,NSR
G,U,1,G,K,N,RF
U,U,1,B,E,N,NSPR
A,U,1,B,K,N,RF
G,U,1,G,K,N,RF
G,U,1,B,K,N,RF
U,U,1,G,E,N,RF
G,U,1,B,K,N,RF
A,U,1,G,K,N,RF
A,U,1,G,K,N,RF
U,U,1,B,E,N,RF
U,U,1,G,E,N,RF
U,U,1,G,E,N,RF
G,U,1,B,K,N,NSR
G,R,1,B,E,N,RF
A,U,1,B,K,N,RF
U,U,1,G,K,N,RF
G,U,1,B,K,N,RF
A,U,1,B,K,N,NSR
U,U,1,G,E,N,RF
G,U,1,B,K,N,RF
G,U,1,G,K,N,RF
A,U,1,G,E,N,RF
A,U,1,B,E,N,NSR
U,U,1,B,E,N,RF
U,U,1,G,E,N,RF
U,U,1,B,E,N,RF
U,U,1,G,E,N,RF
U,U,1,B,E,N,RF
U,U,1,G,E,N,RF
U,U,1,G,E,N,RF
A,U,1,G,K,N,NSR
U,U,1,G,E,N,RF
U,U,1,G,E,N,RF
A,R,1,B,E,N,RF
G,U,1,G,K,N,RF
U,U,1,B,E,N,RF
U,U,1,G,K,N,RF
U,U,1,B,E,N,RF
U,U,1,B,E,N,RF
A,U,1,G,K,N,RF
G,U,1,G,E,N,RF
U,U,1,B,E,N,RF
U,U,1,B,K,N,RF
G,U,1,B,K,N,RF
U,U,1,B,E,N,RF
U,U,1,G,E,N,RF
A,U,1,B,E,N,RF
U,U,1,G,E,N,RF
A,U,1,B,E,N,RF
U,U,1,B,K,N,RF
U,U,1,B,K,N,NSPR
A,U,1,G,E,N,RF
U,U,1,G,E,N,RF
A,U,1,G,E,N,RF
G,U,1,G,K,N,RF
U,U,1,B,K,N,NSR
U,U,1,B,K,N,RF
U,U,1,G,E,N,RF
U,U,1,B,E,N,NSR
U,U,1,B,K,N,RF
U,U,1,B,E,N,RF
A,U,1,B,E,N,NSR
A,U,1,G,E,N,RF
A,U,1,G,K,N,RF
U,U,1,B,E,N,RF
A,U,1,G,T,N,NSR
U,U,1,G,E,N,RF
G,U,1,B,K,N,RF
U,U,1,G,E,N,RF
U,U,1,B,E,N,RF
U,U,1,B,E,N,RF
A,U,1,G,E,N,RF
A,U,1,G,E,N,RF
A,U,1,G,K,N,RF
U,U,1,B,K,N,RF
U,U,1,G,E,N,RF
G,U,1,B,K,N,RF
U,U,1,G,E,N,NSR
U,U,1,B,E,N,NSPR
G,U,1,G,K,N,RF
A,U,1,G,E,N,RF
A,U,1,G,K,N,NSR
U,U,1,B,E,N,NSPR
A,U,1,G,E,N,RF
A,U,1,B,K,N,NSR
U,U,1,G,E,N,RF
A,U,1,G,E,N,RF
U,U,1,G,E,N,RF
G,U,1,B,K,N,PF
U,U,1,G,E,N,RF
U,U,1,B,E,N,PF
U,U,1,B,E,N,RF
U,U,1,G,E,N,RF
U,U,1,G,E,N,RF
U,U,1,G,E,N,RF
A,U,1,G,K,N,RF
U,U,1,G,E,N,RF
A,U,1,G,E,N,NSR
G,U,1,G,K,N,RF
A,U,1,G,E,N,NSR
U,U,1,G,E,N,RF
U,U,1,B,E,N,RF
U,U,1,B,E,N,RF
U,R,1,B,E,N,RF
A,U,1,B,K,N,RF
U,U,1,G,E,N,RF
G,U,1,B,E,N,RF
U,U,1,G,E,N,RF
A,U,1,B,E,N,RF
U,U,1,B,E,N,RF
A,U,1,G,K,N,RF
A,U,1,G,K,N,NSR
G,R,1,B,K,N,RF
A,U,1,B,K,N,NSPR
U,U,1,B,E,N,RF
U,R,1,G,E,N,PF
A,U,1,G,K,N,RF
U,U,1,G,E,N,RF
U,U,1,G,E,N,RF
U,U,1,G,E,N,RF
U,U,1,B,E,N,RF
A,U,1,G,E,N,RF
A,U,1,B,K,N,RF
G,U,1,G,K,N,RF
U,U,1,B,E,N,RF
A,U,1,G,K,N,RF
G,U,1,B,K,N,RF
A,U,1,B,E,N,NSR
U,U,1,G,E,N,RF
A,U,1,G,E,N,RF
U,U,1,B,E,N,RF
U,U,1,B,E,N,RF
U,U,1,B,E,N,RF
U,U,1,B,E,N,RF
U,U,1,G,E,N,RF
A,U,1,G,K,N,RF
A,U,1,G,E,N,RF
U,U,1,B,E,N,RF
U,U,1,G,E,N,RF
A,U,1,G,K,N,RF
G,U,1,B,K,N,RF
A,U,1,B,E,N,NSR
A,U,1,B,E,N,RF
U,U,1,B,E,N,RF
U,U,1,G,E,N,RF
U,U,1,B,E,N,RF
A,U,1,G,K,N,RF
A,U,1,G,E,N,RF
A,U,1,B,K,N,RF
U,U,1,B,E,N,RF
G,U,1,B,K,N,RF
A,U,1,G,E,N,RF
A,U,1,G,K,N,RF
G,R,1,B,K,N,NSR
U,U,1,B,K,N,PF
A,R,1,G,E,N,RF
A,U,1,B,K,N,RF
A,U,1,B,K,N,RF
U,U,1,B,E,N,RF
U,U,1,G,K,N,RF
U,U,1,B,E,N,RF
U,U,1,B,E,N,RF
U,U,1,G,K,N,RF
A,U,1,B,K,N,RF
U,R,1,B,K,N,RF
U,U,1,B,E,N,RF
G,U,1,B,E,N,RF
A,U,1,B,E,N,RF
U,U,1,G,E,N,RF
A,U,1,B,E,N,RF
G,R,1,B,K,N,RF
G,U,1,B,T,N,PF
A,U,1,B,E,N,RF
A,U,1,B,E,N,RF
U,R,1,G,E,N,RF
U,U,1,B,E,N,RF
A,U,1,G,K,N,RF
A,U,1,B,K,N,RF
U,U,1,G,E,N,RF
A,U,1,G,K,N,NSR
U,U,1,B,K,N,RF
G,U,1,G,K,N,RF
A,U,1,G,E,N,RF
U,U,1,G,E,N,NSR
G,U,1,B,K,N,RF
A,U,1,B,E,N,NSR
U,U,1,G,E,N,RF
U,U,1,B,E,N,RF
