L1_Marks_Class,L2_Marks_Class,L3_Marks_Class,S1_Marks_Class,S2_Marks_Class,S3_Marks_Class,URBAN_RURAL
1,2,PASS,PASS,PASS,1,U
PASS,PASS,PASS,2,PASS,PASS,U
PASS,PASS,FAIL,PASS,FAIL,FAIL,U
FAIL,1,PASS,2,1,1,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
D,PASS,FAIL,PASS,PASS,FAIL,U
2,1,PASS,2,PASS,1,U
PASS,FAIL,FAIL,FAIL,FAIL,FAIL,U
FAIL,FAIL,FAIL,PASS,PASS,PASS,U
1,PASS,PASS,1,2,1,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
FAIL,PASS,PASS,PASS,2,FAIL,U
1,D,1,PASS,2,1,U
N/A,N/A,N/A,N/A,FAIL,N/A,U
FAIL,FAIL,FAIL,FAIL,FAIL,PASS,U
PASS,PASS,PASS,1,PASS,PASS,U
FAIL,PASS,PASS,PASS,FAIL,FAIL,U
FAIL,FAIL,PASS,PASS,PASS,FAIL,U
PASS,1,1,PASS,PASS,D,U
PASS,PASS,PASS,PASS,PASS,2,U
2,PASS,FAIL,PASS,FAIL,PASS,U
1,1,2,PASS,2,1,U
PASS,1,PASS,1,1,D,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
FAIL,PASS,PASS,FAIL,FAIL,FAIL,U
PASS,FAIL,PASS,FAIL,FAIL,PASS,U
PASS,FAIL,FAIL,FAIL,FAIL,FAIL,U
PASS,PASS,PASS,PASS,1,1,U
PASS,2,PASS,PASS,PASS,PASS,U
FAIL,2,FAIL,FAIL,PASS,1,U
PASS,1,PASS,2,2,PASS,U
PASS,PASS,2,PASS,PASS,PASS,U
FAIL,PASS,PASS,FAIL,FAIL,PASS,U
D,D,1,2,PASS,1,R
1,1,PASS,PASS,2,1,U
PASS,PASS,FAIL,FAIL,PASS,PASS,U
PASS,PASS,PASS,2,PASS,PASS,U
1,1,PASS,FAIL,FAIL,PASS,U
1,D,D,1,1,D,U
PASS,1,PASS,2,PASS,1,U
PASS,PASS,2,PASS,PASS,PASS,U
2,FAIL,PASS,FAIL,PASS,1,U
PASS,FAIL,FAIL,PASS,FAIL,PASS,U
PASS,PASS,PASS,PASS,FAIL,PASS,U
N/A,N/A,N/A,N/A,FAIL,N/A,U
PASS,PASS,PASS,FAIL,PASS,PASS,U
FAIL,PASS,FAIL,FAIL,PASS,PASS,U
PASS,PASS,PASS,PASS,PASS,PASS,R
PASS,PASS,PASS,2,PASS,PASS,U
PASS,1,1,2,PASS,1,U
FAIL,PASS,PASS,PASS,PASS,2,U
1,PASS,PASS,FAIL,FAIL,FAIL,U
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,U
PASS,FAIL,PASS,PASS,2,PASS,U
PASS,1,2,PASS,PASS,1,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
1,D,PASS,1,1,1,U
1,PASS,PASS,2,PASS,1,U
2,1,PASS,PASS,PASS,PASS,U
1,1,PASS,PASS,PASS,1,U
N/A,PASS,PASS,N/A,FAIL,N/A,U
PASS,PASS,PASS,PASS,PASS,2,R
1,1,PASS,PASS,PASS,1,U
PASS,D,2,2,1,D,U
1,1,PASS,2,PASS,PASS,U
1,D,1,2,PASS,PASS,U
D,1,1,1,1,1,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
PASS,PASS,PASS,2,PASS,2,U
1,1,1,PASS,2,1,U
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,U
PASS,2,PASS,PASS,PASS,PASS,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
1,PASS,PASS,2,2,2,U
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
1,D,1,PASS,2,1,U
FAIL,1,FAIL,PASS,FAIL,PASS,U
1,PASS,PASS,1,PASS,2,U
1,D,1,1,2,PASS,U
PASS,PASS,PASS,FAIL,FAIL,2,U
FAIL,PASS,PASS,PASS,PASS,PASS,U
PASS,PASS,PASS,1,PASS,PASS,U
1,D,D,1,1,D,U
PASS,PASS,PASS,N/A,FAIL,N/A,U
FAIL,FAIL,FAIL,PASS,PASS,PASS,U
2,1,1,1,PASS,2,U
1,D,1,2,PASS,1,U
