SCHOOL_TYPE,URBAN_RURAL,NRC_CASTE_CODE,NRC_GENDER_CODE,NRC_MEDIUM,NRC_PHYSICAL_CONDITION,NRC_CLASS,CANDIDATE_TYPE
A,U,1,G,E,N,PASS,RF
U,U,1,G,K,N,PASS,RF
U,U,1,B,E,N,FAIL,NSR
U,U,1,B,E,N,FAIL,RF
U,U,1,B,E,N,FAIL,RF
A,U,1,G,E,N,FAIL,RF
G,U,1,G,K,N,2,RF
U,U,1,G,E,N,FAIL,RF
A,U,1,G,K,N,FAIL,RF
G,U,1,B,K,N,2,RF
G,U,1,G,K,N,FAIL,RF
A,U,1,G,K,N,FAIL,NSR
U,U,1,G,E,N,1,RF
A,U,1,G,K,N,FAIL,RF
U,U,1,B,E,N,FAIL,PF
G,U,1,B,K,N,PASS,RF
U,U,1,B,E,N,FAIL,RF
G,U,1,G,K,N,FAIL,RF
U,U,1,G,E,N,2,RF
G,U,1,B,K,N,PASS,RF
U,U,1,B,E,N,FAIL,RF
A,U,1,G,K,N,2,RF
U,U,1,B,E,N,1,RF
A,U,1,G,E,N,FAIL,RF
A,U,1,G,E,N,FAIL,RF
A,U,1,G,K,N,FAIL,RSR
A,U,1,B,E,N,FAIL,RF
U,U,1,G,E,N,2,RF
U,U,1,G,E,N,PASS,RF
A,U,1,G,E,N,FAIL,RF
U,U,1,B,E,N,PASS,RF
A,U,1,B,K,N,PASS,RF
A,U,1,B,E,N,FAIL,NSR
A,R,1,G,E,N,1,RF
U,U,1,B,K,N,2,RF
U,U,1,B,K,N,FAIL,RF
G,U,1,G,K,N,PASS,RF
U,U,1,G,E,N,FAIL,RF
U,U,1,G,E,N,1,RF
U,U,1,G,E,N,2,RF
U,U,1,B,K,N,PASS,RF
U,U,1,G,E,N,FAIL,RF
A,U,1,G,K,N,FAIL,RF
U,U,1,B,E,N,FAIL,PF
A,U,1,G,E,N,FAIL,PF
U,U,1,B,K,N,FAIL,RF
G,U,1,B,E,N,FAIL,NSR
U,R,1,G,E,N,PASS,RF
U,U,1,G,E,N,PASS,RF
U,U,1,B,E,N,2,RF
A,U,1,B,E,N,FAIL,NSR
G,U,1,G,E,N,FAIL,RF
A,U,1,G,E,N,FAIL,RF
U,U,1,B,E,N,FAIL,RF
A,U,1,G,E,N,2,RF
A,U,1,B,K,N,FAIL,NSR
U,U,1,B,E,N,1,RF
A,U,1,G,K,N,2,RF
U,U,1,B,E,N,PASS,RF
G,U,1,G,E,N,2,RF
A,U,1,G,E,N,FAIL,RSR
G,R,1,B,K,N,PASS,RF
A,U,1,B,K,N,2,RF
U,U,1,G,E,N,1,RF
U,U,1,G,E,N,2,RF
U,U,1,B,E,N,1,RF
G,U,1,G,K,N,1,RF
G,U,1,B,K,N,FAIL,PF
G,U,1,B,K,N,PASS,RF
U,U,1,B,E,N,1,RF
U,U,1,B,E,N,FAIL,NSPR
A,U,1,B,K,N,PASS,RF
G,U,1,B,E,N,FAIL,PF
A,U,1,B,K,N,2,RF
A,U,1,G,E,N,FAIL,RF
G,U,1,B,K,N,FAIL,PF
A,U,1,B,E,N,1,RF
U,U,1,B,E,N,FAIL,RF
A,U,1,G,K,N,2,RF
U,U,1,G,E,N,1,RF
U,U,1,B,E,N,FAIL,NSPR
A,U,1,B,E,N,FAIL,RF
U,U,1,G,K,N,PASS,RF
A,U,1,G,E,N,1,RF
U,U,1,B,E,N,FAIL,RSR
A,U,1,G,K,N,FAIL,RF
U,U,1,G,E,N,2,RF
U,U,1,G,E,N,1,RF
A,U,1,B,K,N,FAIL,PF
U,U,1,B,E,N,1,RF
U,U,1,B,E,N,1,RF
G,U,1,B,K,N,FAIL,NSR
U,U,1,B,K,N,PASS,RF
U,U,1,B,E,N,2,RF
U,U,1,G,K,N,PASS,RF
A,U,1,B,K,N,FAIL,NSR
U,U,1,B,E,N,1,RF
A,U,1,B,K,N,PASS,NSR
A,U,1,G,K,N,FAIL,RF
A,U,1,G,E,N,1,RF
U,U,1,B,E,N,PASS,RF
U,U,1,B,E,N,FAIL,RF
U,R,1,B,E,N,PASS,RF
U,U,1,B,E,N,1,RF
G,U,1,B,K,N,FAIL,RF
U,U,1,B,E,N,FAIL,RF
A,U,1,B,E,N,FAIL,RF
A,U,1,B,K,N,FAIL,NSR
G,U,1,G,K,N,PASS,RF
U,U,1,B,E,N,FAIL,NSPR
A,U,1,B,K,N,FAIL,RF
G,U,1,G,K,N,1,RF
G,U,1,B,K,N,PASS,RF
U,U,1,G,E,N,FAIL,RF
G,U,1,B,K,N,1,RF
A,U,1,G,K,N,1,RF
A,U,1,G,K,N,FAIL,RF
U,U,1,B,E,N,1,RF
U,U,1,G,E,N,1,RF
U,U,1,G,E,N,1,RF
G,U,1,B,K,N,FAIL,NSR
G,R,1,B,E,N,1,RF
A,U,1,B,K,N,FAIL,RF
U,U,1,G,K,N,1,RF
G,U,1,B,K,N,1,RF
A,U,1,B,K,N,FAIL,NSR
U,U,1,G,E,N,PASS,RF
G,U,1,B,K,N,2,RF
G,U,1,G,K,N,FAIL,RF
A,U,1,G,E,N,1,RF
A,U,1,B,E,N,FAIL,NSR
U,U,1,B,E,N,1,RF
U,U,1,G,E,N,PASS,RF
U,U,1,B,E,N,FAIL,RF
U,U,1,G,E,N,PASS,RF
U,U,1,B,E,N,PASS,RF
U,U,1,G,E,N,FAIL,RF
U,U,1,G,E,N,D   ,RF
A,U,1,G,K,N,FAIL,NSR
U,U,1,G,E,N,PASS,RF
U,U,1,G,E,N,FAIL,RF
A,R,1,B,E,N,FAIL,RF
G,U,1,G,K,N,FAIL,RF
U,U,1,B,E,N,1,RF
U,U,1,G,K,N,FAIL,RF
U,U,1,B,E,N,PASS,RF
U,U,1,B,E,N,PASS,RF
A,U,1,G,K,N,PASS,RF
G,U,1,G,E,N,2,RF
U,U,1,B,E,N,FAIL,RF
U,U,1,B,K,N,1,RF
G,U,1,B,K,N,2,RF
U,U,1,B,E,N,2,RF
U,U,1,G,E,N,1,RF
A,U,1,B,E,N,2,RF
U,U,1,G,E,N,PASS,RF
A,U,1,B,E,N,FAIL,RF
U,U,1,B,K,N,PASS,RF
U,U,1,B,K,N,FAIL,NSPR
A,U,1,G,E,N,PASS,RF
U,U,1,G,E,N,1,RF
A,U,1,G,E,N,1,RF
G,U,1,G,K,N,2,RF
U,U,1,B,K,N,PASS,NSR
U,U,1,B,K,N,FAIL,RF
U,U,1,G,E,N,1,RF
U,U,1,B,E,N,PASS,NSR
U,U,1,B,K,N,FAIL,RF
U,U,1,B,E,N,FAIL,RF
A,U,1,B,E,N,FAIL,NSR
A,U,1,G,E,N,1,RF
A,U,1,G,K,N,FAIL,RF
U,U,1,B,E,N,1,RF
A,U,1,G,T,N,PASS,NSR
U,U,1,G,E,N,2,RF
G,U,1,B,K,N,PASS,RF
U,U,1,G,E,N,PASS,RF
U,U,1,B,E,N,2,RF
U,U,1,B,E,N,FAIL,RF
A,U,1,G,E,N,FAIL,RF
A,U,1,G,E,N,1,RF
A,U,1,G,K,N,PASS,RF
U,U,1,B,K,N,D   ,RF
U,U,1,G,E,N,FAIL,RF
G,U,1,B,K,N,1,RF
U,U,1,G,E,N,FAIL,NSR
U,U,1,B,E,N,FAIL,NSPR
G,U,1,G,K,N,FAIL,RF
A,U,1,G,E,N,FAIL,RF
A,U,1,G,K,N,PASS,NSR
U,U,1,B,E,N,FAIL,NSPR
A,U,1,G,E,N,2,RF
A,U,1,B,K,N,FAIL,NSR
U,U,1,G,E,N,PASS,RF
A,U,1,G,E,N,FAIL,RF
U,U,1,G,E,N,2,RF
G,U,1,B,K,N,FAIL,PF
U,U,1,G,E,N,FAIL,RF
U,U,1,B,E,N,FAIL,PF
U,U,1,B,E,N,2,RF
U,U,1,G,E,N,1,RF
U,U,1,G,E,N,FAIL,RF
U,U,1,G,E,N,1,RF
A,U,1,G,K,N,2,RF
U,U,1,G,E,N,1,RF
A,U,1,G,E,N,FAIL,NSR
G,U,1,G,K,N,FAIL,RF
A,U,1,G,E,N,FAIL,NSR
