L1_MARKS_CORRECTED,L1_Marks_Corrected,L1_RESULT,L2_MARKS_CORRECTED,L2_RESULT,L3_MARKS_CORRECTED,L3_RESULT,S1_MARKS_CORRECTED,S1_RESULT,S2_MARKS_CORRECTED,S2_RESULT,S3_MARKS_CORRECTED,S3_RESULT,NRC_CLASS,NRC_RESULT
90,72,P,51,P,39,P,30,P,30,P,60,P,PASS,P
60,48,P,36,P,40,P,52,P,35,P,46,P,PASS,P
55,44,P,46,P,12,F,38,P,19,F,18,F,FAIL,F
16,12,F,61,P,36,P,52,P,68,P,61,P,FAIL,F
8,6,F,6,F,12,F,10,F,20,F,19,F,FAIL,F
111,88,P,35,P,8,F,36,P,38,P,21,F,FAIL,F
67,53,P,65,P,47,P,57,P,48,P,67,P,2,P
48,38,P,13,F,10,F,15,F,21,F,17,F,FAIL,F
15,12,F,9,F,18,F,37,P,35,P,36,P,FAIL,F
88,70,P,35,P,30,P,63,P,52,P,66,P,2,P
3,2,F,5,F,8,F,18,F,20,F,6,F,FAIL,F
11,8,F,40,P,40,P,35,P,53,P,23,F,FAIL,F
106,84,P,94,P,70,P,40,P,58,P,74,P,1,P
N/A,N/A,A,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
11,8,F,17,F,17,F,19,F,16,F,45,P,FAIL,F
62,49,P,42,P,39,P,76,P,39,P,36,P,PASS,P
19,15,F,35,P,38,P,40,P,21,F,16,F,FAIL,F
16,12,F,16,F,35,P,43,P,35,P,12,F,FAIL,F
57,45,P,75,P,74,P,30,P,48,P,85,P,2,P
47,37,P,30,P,35,P,30,P,35,P,53,P,PASS,P
68,54,P,43,P,9,F,35,P,20,F,35,P,FAIL,F
85,68,P,60,P,50,P,45,P,51,P,64,P,2,P
54,43,P,78,P,35,P,62,P,70,P,88,P,1,P
23,18,F,11,F,7,F,16,F,19,F,11,F,FAIL,F
10,8,F,35,P,35,P,16,F,21,F,14,F,FAIL,F
62,49,P,15,F,35,P,8,F,9,F,35,P,FAIL,F
54,43,P,9,F,5,F,5,F,15,F,9,F,FAIL,F
47,37,P,46,P,45,P,46,P,61,P,69,P,2,P
51,40,P,50,P,35,P,30,P,30,P,30,P,PASS,P
17,13,F,55,P,15,F,26,F,35,P,71,P,FAIL,F
38,30,P,61,P,43,P,54,P,55,P,47,P,PASS,P
44,35,P,36,P,50,P,36,P,30,P,44,P,PASS,P
20,16,F,35,P,35,P,14,F,14,F,36,P,FAIL,F
120,96,P,94,P,76,P,53,P,48,P,68,P,1,P
96,76,P,60,P,31,P,49,P,51,P,68,P,2,P
54,43,P,35,P,17,F,19,F,30,F,37,P,FAIL,F
50,40,P,30,P,35,P,55,P,35,P,30,P,PASS,P
83,66,P,60,P,35,P,11,F,25,F,35,P,FAIL,F
106,84,P,97,P,89,P,70,P,66,P,91,P,1,P
55,44,P,60,P,36,P,57,P,48,P,60,P,2,P
51,40,P,30,P,51,P,34,P,30,P,44,P,PASS,P
63,50,P,13,F,35,P,25,F,36,P,78,P,FAIL,F
53,42,P,17,F,15,F,30,F,27,F,35,P,FAIL,F
44,35,P,35,P,42,P,36,P,11,F,39,P,FAIL,F
N/A,N/A,A,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
48,38,P,35,P,38,P,9,F,43,P,30,F,FAIL,F
20,16,F,36,P,7,F,12,F,30,F,35,P,FAIL,F
38,30,P,35,P,41,P,30,P,40,P,42,P,PASS,P
55,44,P,30,P,41,P,52,P,41,P,30,P,PASS,P
54,43,P,67,P,61,P,56,P,40,P,67,P,2,P
8,6,F,38,P,35,P,35,P,48,P,56,P,FAIL,F
81,64,P,35,P,35,P,9,F,20,F,19,F,FAIL,F
6,4,F,35,P,9,F,14,F,27,F,21,F,FAIL,F
44,35,P,14,F,47,P,30,F,50,P,35,P,FAIL,F
52,41,P,69,P,57,P,39,P,35,P,62,P,2,P
5,4,F,3,F,10,F,5,F,5,F,4,F,FAIL,F
80,64,P,87,P,47,P,70,P,66,P,66,P,1,P
106,84,P,30,P,35,P,51,P,35,P,72,P,2,P
63,50,P,76,P,36,P,30,P,30,P,39,P,PASS,P
98,78,P,71,P,44,P,41,P,37,P,60,P,2,P
N/A,N/A,A,35,P,35,P,N/A,A,0,F,N/A,A,FAIL,F
46,36,P,35,P,40,P,36,P,30,P,57,P,PASS,P
83,66,P,76,P,41,P,36,P,38,P,80,P,2,P
56,44,P,88,P,56,P,54,P,76,P,85,P,1,P
95,76,P,74,P,35,P,53,P,35,P,41,P,2,P
92,73,P,87,P,61,P,59,P,48,P,44,P,1,P
117,93,P,78,P,83,P,74,P,69,P,81,P,1,P
12,9,F,14,F,11,F,19,F,16,F,12,F,FAIL,F
57,45,P,30,P,37,P,50,P,37,P,57,P,PASS,P
88,70,P,74,P,71,P,45,P,59,P,63,P,1,P
16,12,F,35,P,13,F,5,F,7,F,1,F,FAIL,F
61,48,P,53,P,30,P,30,P,35,P,41,P,PASS,P
2,1,F,12,F,11,F,12,F,11,F,9,F,FAIL,F
81,64,P,40,P,49,P,59,P,51,P,54,P,2,P
17,13,F,37,P,13,F,13,F,19,F,10,F,FAIL,F
14,11,F,11,F,17,F,9,F,14,F,22,F,FAIL,F
105,84,P,85,P,68,P,44,P,51,P,72,P,1,P
32,25,F,71,P,8,F,30,F,19,F,45,P,FAIL,F
82,65,P,45,P,42,P,64,P,35,P,57,P,2,P
92,73,P,90,P,75,P,62,P,59,P,47,P,1,P
44,35,P,35,P,35,P,6,F,8,F,59,P,FAIL,F
18,14,F,42,P,35,P,47,P,30,F,42,P,FAIL,F
57,45,P,39,P,35,P,64,P,40,P,43,P,PASS,P
105,84,P,85,P,87,P,78,P,61,P,87,P,1,P
44,35,P,35,P,35,P,N/A,A,0,F,N/A,A,FAIL,F
20,16,F,7,F,12,F,30,F,45,P,35,P,FAIL,F
68,54,P,63,P,60,P,67,P,48,P,58,P,2,P
106,84,P,85,P,69,P,53,P,42,P,75,P,1,P
3,2,F,6,F,10,F,4,F,16,F,12,F,FAIL,F
94,75,P,75,P,51,P,53,P,44,P,72,P,1,P
67,53,P,75,P,76,P,63,P,67,P,77,P,1,P
50,40,P,51,P,35,P,40,P,11,F,24,F,FAIL,F
76,60,P,50,P,40,P,35,P,41,P,45,P,PASS,P
44,35,P,72,P,46,P,68,P,50,P,63,P,2,P
61,48,P,30,P,48,P,43,P,42,P,52,P,PASS,P
11,8,F,35,P,35,P,13,F,12,F,9,F,FAIL,F
107,85,P,78,P,81,P,78,P,74,P,86,P,1,P
47,37,P,30,P,40,P,40,P,41,P,40,P,PASS,P
46,36,P,18,F,35,P,35,P,30,F,41,P,FAIL,F
87,69,P,80,P,70,P,62,P,65,P,64,P,1,P
70,56,P,37,P,55,P,42,P,35,P,30,P,PASS,P
13,10,F,50,P,35,P,30,F,35,P,57,P,FAIL,F
56,44,P,39,P,30,P,30,P,35,P,39,P,PASS,P
112,89,P,90,P,68,P,67,P,70,P,75,P,1,P
20,16,F,35,P,19,F,47,P,13,F,38,P,FAIL,F
8,6,F,13,F,16,F,30,F,17,F,30,F,FAIL,F
8,6,F,35,P,12,F,11,F,23,F,6,F,FAIL,F
47,37,P,35,P,35,P,35,P,22,F,35,P,FAIL,F
79,63,P,51,P,65,P,35,P,35,P,47,P,PASS,P
65,52,P,35,P,5,F,10,F,9,F,54,P,FAIL,F
31,24,F,35,P,19,F,39,P,20,F,35,P,FAIL,F
99,79,P,77,P,85,P,57,P,61,P,84,P,1,P
44,35,P,30,P,40,P,30,P,40,P,35,P,PASS,P
96,76,P,46,P,10,F,8,F,43,P,17,F,FAIL,F
104,83,P,58,P,74,P,66,P,49,P,71,P,1,P
102,81,P,42,P,54,P,64,P,47,P,68,P,1,P
61,48,P,N/A,A,49,P,35,P,35,P,35,P,FAIL,F
73,58,P,76,P,67,P,66,P,70,P,83,P,1,P
112,89,P,63,P,74,P,53,P,76,P,76,P,1,P
104,83,P,98,P,60,P,76,P,74,P,86,P,1,P
5,4,F,35,P,35,P,35,P,38,P,30,F,FAIL,F
73,58,P,78,P,68,P,77,P,76,P,75,P,1,P
10,8,F,17,F,5,F,8,F,23,F,46,P,FAIL,F
108,86,P,66,P,74,P,83,P,69,P,86,P,1,P
80,64,P,78,P,75,P,51,P,47,P,59,P,1,P
5,4,F,35,P,40,P,57,P,35,P,30,F,FAIL,F
56,44,P,51,P,30,P,40,P,49,P,84,P,PASS,P
61,48,P,43,P,55,P,60,P,50,P,44,P,2,P
33,26,F,8,F,10,F,16,F,30,F,10,F,FAIL,F
92,73,P,86,P,72,P,53,P,51,P,35,P,1,P
5,4,F,35,P,11,F,15,F,37,P,36,P,FAIL,F
83,66,P,82,P,73,P,45,P,57,P,61,P,1,P
58,46,P,38,P,40,P,42,P,47,P,52,P,PASS,P
57,45,P,40,P,13,F,35,P,30,F,35,P,FAIL,F
47,37,P,55,P,35,P,51,P,38,P,30,P,PASS,P
47,37,P,67,P,46,P,30,P,35,P,72,P,PASS,P
84,67,P,55,P,35,P,13,F,30,F,13,F,FAIL,F
120,96,P,97,P,89,P,88,P,88,P,86,P,D   ,P
7,5,F,38,P,35,P,41,P,13,F,35,P,FAIL,F
53,42,P,75,P,55,P,30,P,42,P,48,P,PASS,P
21,16,F,37,P,35,P,30,F,35,P,30,F,FAIL,F
109,87,P,77,P,35,P,30,F,21,F,21,F,FAIL,F
29,23,F,35,P,35,P,35,P,35,P,35,P,FAIL,F
99,79,P,80,P,58,P,75,P,52,P,72,P,1,P
31,24,F,12,F,35,P,37,P,21,F,35,P,FAIL,F
82,65,P,41,P,41,P,44,P,51,P,40,P,PASS,P
38,30,P,42,P,41,P,61,P,40,P,61,P,PASS,P
64,51,P,30,P,35,P,48,P,46,P,36,P,PASS,P
100,80,P,50,P,54,P,64,P,40,P,35,P,2,P
13,10,F,41,P,35,P,21,F,30,F,22,F,FAIL,F
103,82,P,90,P,86,P,78,P,51,P,96,P,1,P
86,68,P,38,P,75,P,51,P,44,P,57,P,2,P
38,30,P,72,P,54,P,62,P,37,P,64,P,2,P
90,72,P,96,P,91,P,55,P,72,P,81,P,1,P
61,48,P,62,P,60,P,58,P,54,P,60,P,2,P
39,31,P,55,P,35,P,35,P,30,P,60,P,PASS,P
56,44,P,11,F,9,F,17,F,16,F,17,F,FAIL,F
83,66,P,35,P,35,P,60,P,30,P,35,P,PASS,P
47,37,P,35,P,14,F,41,P,16,F,35,P,FAIL,F
90,72,P,30,P,42,P,36,P,46,P,65,P,PASS,P
101,80,P,74,P,67,P,55,P,37,P,43,P,1,P
70,56,P,72,P,61,P,49,P,55,P,80,P,1,P
82,65,P,46,P,71,P,53,P,46,P,58,P,2,P
62,49,P,30,P,30,P,30,P,37,P,37,P,PASS,P
10,8,F,9,F,9,F,19,F,16,F,37,P,FAIL,F
85,68,P,85,P,60,P,55,P,50,P,74,P,1,P
94,75,P,35,P,35,P,37,P,30,P,30,P,PASS,P
N/A,N/A,A,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
23,18,F,35,P,10,F,17,F,16,F,22,F,FAIL,F
6,4,F,35,P,6,F,21,F,50,P,40,P,FAIL,F
86,68,P,61,P,67,P,59,P,66,P,53,P,1,P
82,65,P,40,P,14,F,35,P,40,P,74,P,FAIL,F
60,48,P,90,P,62,P,78,P,70,P,92,P,1,P
64,51,P,37,P,30,P,45,P,52,P,41,P,PASS,P
53,42,P,73,P,60,P,30,P,41,P,60,P,2,P
38,30,P,35,P,30,P,52,P,35,P,74,P,PASS,P
67,53,P,50,P,35,P,40,P,39,P,67,P,PASS,P
60,48,P,73,P,60,P,55,P,52,P,73,P,2,P
57,45,P,35,P,9,F,18,F,24,F,14,F,FAIL,F
68,54,P,38,P,17,F,13,F,19,F,18,F,FAIL,F
86,68,P,78,P,49,P,44,P,53,P,77,P,1,P
73,58,P,60,P,30,P,39,P,30,P,41,P,PASS,P
123,98,P,98,P,98,P,93,P,97,P,98,P,D   ,P
50,40,P,47,P,19,F,35,P,25,F,18,F,FAIL,F
91,72,P,52,P,67,P,79,P,62,P,61,P,1,P
5,4,F,35,P,35,P,36,P,35,P,71,P,FAIL,F
16,12,F,4,F,9,F,10,F,35,P,37,P,FAIL,F
48,38,P,35,P,35,P,20,F,22,F,37,P,FAIL,F
100,80,P,35,P,19,F,14,F,19,F,30,F,FAIL,F
49,39,P,35,P,35,P,35,P,35,P,30,P,PASS,P
7,5,F,35,P,16,F,8,F,30,F,40,P,FAIL,F
38,30,P,92,P,48,P,63,P,55,P,75,P,2,P
4,3,F,35,P,35,P,35,P,8,F,8,F,FAIL,F
45,36,P,44,P,40,P,30,P,38,P,30,P,PASS,P
48,38,P,21,F,20,F,35,P,35,P,35,P,FAIL,F
122,97,P,62,P,30,P,40,P,57,P,50,P,2,P
30,24,F,35,P,45,P,6,F,5,F,10,F,FAIL,F
46,36,P,53,P,11,F,22,F,23,F,19,F,FAIL,F
18,14,F,42,P,19,F,20,F,25,F,18,F,FAIL,F
93,74,P,48,P,64,P,30,P,40,P,81,P,2,P
92,73,P,75,P,60,P,70,P,65,P,79,P,1,P
13,10,F,35,P,17,F,49,P,41,P,30,F,FAIL,F
86,68,P,91,P,78,P,44,P,30,P,76,P,1,P
86,68,P,35,P,67,P,54,P,35,P,47,P,2,P
89,71,P,79,P,59,P,46,P,43,P,63,P,1,P
16,12,F,45,P,35,P,41,P,45,P,40,P,FAIL,F
54,43,P,11,F,15,F,30,F,20,F,22,F,FAIL,F
54,43,P,11,F,36,P,6,F,9,F,10,F,FAIL,F
102,81,P,65,P,70,P,67,P,45,P,70,P,1,P
22,17,F,8,F,18,F,6,F,24,F,35,P,FAIL,F
97,77,P,82,P,79,P,48,P,57,P,85,P,1,P
102,81,P,91,P,89,P,77,P,78,P,96,P,D   ,P
44,35,P,35,P,35,P,30,F,31,F,35,P,FAIL,F
104,83,P,82,P,84,P,81,P,72,P,85,P,1,P
18,14,F,58,P,42,P,35,P,32,F,30,F,FAIL,F
62,49,P,43,P,74,P,30,P,35,P,30,P,PASS,P
44,35,P,35,P,35,P,36,P,26,F,16,F,FAIL,F
113,90,P,85,P,70,P,49,P,47,P,62,P,1,P
9,7,F,7,F,10,F,30,F,21,F,15,F,FAIL,F
46,36,P,35,P,30,P,37,P,36,P,35,P,PASS,P
38,30,P,40,P,30,P,50,P,35,P,48,P,PASS,P
44,35,P,35,P,35,P,16,F,18,F,15,F,FAIL,F
81,64,P,52,P,50,P,62,P,41,P,53,P,2,P
6,4,F,38,P,35,P,12,F,30,F,18,F,FAIL,F
38,30,F,15,F,10,F,43,P,25,F,20,F,FAIL,F
6,4,F,55,P,57,P,60,P,35,P,73,P,FAIL,F
108,86,P,37,P,35,P,37,P,30,P,35,P,PASS,P
44,35,P,53,P,30,P,44,P,30,P,30,P,PASS,P
111,88,P,93,P,75,P,53,P,52,P,82,P,1,P
106,84,P,98,P,98,P,81,P,81,P,92,P,D   ,P
38,30,P,30,P,42,P,43,P,39,P,57,P,PASS,P
72,57,P,30,P,30,P,35,P,35,P,46,P,PASS,P
7,5,F,35,P,38,P,23,F,22,F,30,F,FAIL,F
65,52,P,30,P,30,P,35,P,30,P,30,P,PASS,P
82,65,P,58,P,46,P,50,P,53,P,79,P,2,P
6,4,F,35,P,35,P,30,F,38,P,35,P,FAIL,F
115,92,P,93,P,93,P,86,P,83,P,81,P,D   ,P
19,15,F,9,F,10,F,6,F,19,F,10,F,FAIL,F
11,8,F,35,P,15,F,10,F,35,P,50,P,FAIL,F
82,65,P,41,P,30,P,43,P,37,P,37,P,PASS,P
68,54,P,77,P,75,P,64,P,51,P,76,P,1,P
38,30,P,52,P,30,P,50,P,35,P,58,P,PASS,P
103,82,P,61,P,39,P,35,P,54,P,68,P,2,P
53,42,P,36,P,45,P,62,P,44,P,52,P,PASS,P
5,4,F,19,F,6,F,19,F,16,F,15,F,FAIL,F
82,65,P,85,P,86,P,61,P,84,P,70,P,1,P
110,88,P,43,P,35,P,42,P,53,P,47,P,2,P
19,15,F,16,F,8,F,17,F,24,F,21,F,FAIL,F
92,73,P,30,P,31,P,36,P,35,P,38,P,PASS,P
60,48,P,35,P,12,F,12,F,35,P,37,P,FAIL,F
2,1,F,8,F,7,F,16,F,18,F,9,F,FAIL,F
4,3,F,5,F,9,F,13,F,14,F,21,F,FAIL,F
55,44,P,52,P,14,F,14,F,23,F,35,P,FAIL,F
77,61,P,76,P,91,P,73,P,48,P,82,P,1,P
98,78,P,69,P,71,P,62,P,57,P,79,P,1,P
52,41,P,35,P,17,F,18,F,15,F,12,F,FAIL,F
31,24,F,35,P,35,P,30,F,20,F,10,F,FAIL,F
