L1_Marks_Class,L2_Marks_Class,L3_Marks_Class,S1_Marks_Class,S2_Marks_Class,S3_Marks_Class,NRC_CLASS
1,2,PASS,PASS,PASS,1,PASS
PASS,PASS,PASS,2,PASS,PASS,PASS
PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL
FAIL,1,PASS,2,1,1,FAIL
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
D,PASS,FAIL,PASS,PASS,FAIL,FAIL
2,1,PASS,2,PASS,1,2
PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL
1,PASS,PASS,1,2,1,2
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
FAIL,PASS,PASS,PASS,2,FAIL,FAIL
1,D,1,PASS,2,1,1
N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
PASS,PASS,PASS,1,PASS,PASS,PASS
FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL
FAIL,FAIL,PASS,PASS,PASS,FAIL,FAIL
PASS,1,1,PASS,PASS,D,2
PASS,PASS,PASS,PASS,PASS,2,PASS
2,PASS,FAIL,PASS,FAIL,PASS,FAIL
1,1,2,PASS,2,1,2
PASS,1,PASS,1,1,D,1
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL
PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL
PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
PASS,PASS,PASS,PASS,1,1,2
PASS,2,PASS,PASS,PASS,PASS,PASS
FAIL,2,FAIL,FAIL,PASS,1,FAIL
PASS,1,PASS,2,2,PASS,PASS
PASS,PASS,2,PASS,PASS,PASS,PASS
FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL
D,D,1,2,PASS,1,1
1,1,PASS,PASS,2,1,2
PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL
PASS,PASS,PASS,2,PASS,PASS,PASS
1,1,PASS,FAIL,FAIL,PASS,FAIL
1,D,D,1,1,D,1
PASS,1,PASS,2,PASS,1,2
PASS,PASS,2,PASS,PASS,PASS,PASS
2,FAIL,PASS,FAIL,PASS,1,FAIL
PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL
PASS,PASS,PASS,PASS,FAIL,PASS,FAIL
N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
PASS,PASS,PASS,FAIL,PASS,PASS,FAIL
FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL
PASS,PASS,PASS,PASS,PASS,PASS,PASS
PASS,PASS,PASS,2,PASS,PASS,PASS
PASS,1,1,2,PASS,1,2
FAIL,PASS,PASS,PASS,PASS,2,FAIL
1,PASS,PASS,FAIL,FAIL,FAIL,FAIL
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
