Maths_Marks,Science_Marks
30,30
52,35
38,19
52,68
10,20
36,38
57,48
15,21
37,35
63,52
18,20
35,53
40,58
0,0
19,16
76,39
40,21
43,35
30,48
30,35
35,20
45,51
62,70
16,19
16,21
8,9
5,15
46,61
30,30
26,35
54,55
36,30
14,14
53,48
49,51
19,30
55,35
11,25
70,66
57,48
34,30
25,36
30,27
36,11
0,0
9,43
12,30
30,40
52,41
56,40
35,48
9,20
14,27
30,50
39,35
5,5
70,66
51,35
30,30
41,37
0,0
36,30
36,38
54,76
53,35
59,48
74,69
19,16
50,37
45,59
5,7
30,35
12,11
59,51
13,19
9,14
44,51
30,19
64,35
62,59
6,8
47,30
64,40
78,61
0,0
30,45
67,48
53,42
4,16
53,44
63,67
40,11
35,41
68,50
43,42
13,12
78,74
40,41
35,30
62,65
42,35
30,35
30,35
67,70
47,13
30,17
11,23
35,22
35,35
10,9
39,20
57,61
30,40
8,43
66,49
64,47
35,35
66,70
53,76
76,74
35,38
77,76
8,23
83,69
51,47
57,35
40,49
60,50
16,30
53,51
15,37
45,57
42,47
35,30
51,38
30,35
13,30
88,88
41,13
30,42
30,35
30,21
35,35
75,52
37,21
44,51
61,40
48,46
64,40
21,30
78,51
51,44
62,37
55,72
58,54
35,30
17,16
60,30
41,16
36,46
55,37
49,55
53,46
30,37
19,16
55,50
37,30
0,0
17,16
21,50
59,66
35,40
78,70
45,52
30,41
52,35
40,39
55,52
18,24
13,19
44,53
39,30
93,97
35,25
79,62
36,35
10,35
20,22
14,19
35,35
8,30
63,55
35,8
30,38
35,35
40,57
6,5
22,23
20,25
30,40
70,65
49,41
44,30
54,35
46,43
41,45
30,20
6,9
67,45
6,24
48,57
77,78
30,31
81,72
35,32
30,35
36,26
49,47
30,21
37,36
50,35
16,18
62,41
12,30
43,25
60,35
37,30
44,30
53,52
81,81
43,39
35,35
23,22
35,30
50,53
30,38
86,83
6,19
10,35
43,37
64,51
50,35
35,54
62,44
19,16
61,84
42,53
17,24
36,35
12,35
16,18
13,14
14,23
73,48
62,57
18,15
30,20
84,88
30,45
18,35
47,36
35,44
8,9
47,30
77,66
49,35
80,81
55,37
19,24
88,94
65,37
22,19
0,0
31,44
53,75
58,61
37,35
30,47
30,30
0,0
62,71
59,61
30,40
22,36
30,40
44,44
53,58
41,30
38,23
52,36
56,50
35,39
37,37
11,16
36,35
35,35
65,42
30,30
65,59
36,35
18,22
36,13
63,46
50,30
81,59
61,52
64,45
15,14
67,30
12,14
85,93
82,53
2,1
20,20
61,67
35,30
17,16
63,54
12,23
41,42
14,18
61,38
63,66
16,18
37,35
53,40
35,46
75,47
42,55
35,30
14,31
42,40
71,48
50,36
12,17
13,6
86,64
71,53
65,36
10,8
42,42
30,36
57,71
52,41
53,31
12,30
30,30
30,30
19,16
66,48
60,50
30,10
35,35
68,55
43,21
35,30
76,44
81,81
36,30
30,30
12,38
46,37
49,40
20,15
46,30
12,21
63,44
10,7
40,35
74,58
91,85
30,35
55,36
46,44
39,30
22,0
77,72
NT,NT
26,35
43,59
88,63
17,9
54,50
6,5
39,51
61,30
38,49
46,44
12,20
60,48
46,53
30,22
72,71
38,42
14,12
30,17
91,75
30,35
56,30
70,67
70,70
17,15
0,0
0,0
35,0
71,69
15,19
24,24
57,51
50,41
71,38
79,57
46,35
35,20
25,15
51,22
63,68
35,30
43,30
39,35
32,40
35,37
58,53
68,62
57,30
70,77
14,35
75,46
12,35
0,0
96,97
30,37
36,16
25,41
58,50
37,23
73,60
71,37
30,42
52,54
40,30
0,0
40,39
39,57
21,22
75,70
21,35
31,30
38,35
14,37
30,30
45,49
30,44
30,31
17,21
0,0
13,23
40,60
80,81
0,0
53,44
45,36
76,90
35,36
84,83
20,23
45,35
97,95
30,30
61,45
30,40
57,59
52,69
48,42
35,23
73,75
75,54
53,51
95,75
48,65
91,82
35,35
63,54
7,6
25,30
66,55
56,54
43,44
69,70
36,35
80,72
72,91
92,96
50,45
24,21
69,54
30,30
30,30
