Maths_Marks,SocialScience_Marks
30,60
52,46
38,18
52,61
10,19
36,21
57,67
15,17
37,36
63,66
18,6
35,23
40,74
0,0
19,45
76,36
40,16
43,12
30,85
30,53
35,35
45,64
62,88
16,11
16,14
8,35
5,9
46,69
30,30
26,71
54,47
36,44
14,36
53,68
49,68
19,37
55,30
11,35
70,91
57,60
34,44
25,78
30,35
36,39
0,0
9,30
12,35
30,42
52,30
56,67
35,56
9,19
14,21
30,35
39,62
5,4
70,66
51,72
30,39
41,60
0,0
36,57
36,80
54,85
53,41
59,44
74,81
19,12
50,57
45,63
5,1
30,41
12,9
59,54
13,10
9,22
44,72
30,45
64,57
62,47
6,59
47,42
64,43
78,87
0,0
30,35
67,58
53,75
4,12
53,72
63,77
40,24
35,45
68,63
43,52
13,9
78,86
40,40
35,41
62,64
42,30
30,57
30,39
67,75
47,38
30,30
11,6
35,35
35,47
10,54
39,35
57,84
30,35
8,17
66,71
64,68
35,35
66,83
53,76
76,86
35,30
77,75
8,46
83,86
51,59
57,30
40,84
60,44
16,10
53,35
15,36
45,61
42,52
35,35
51,30
30,72
13,13
88,86
41,35
30,48
30,30
30,21
35,35
75,72
37,35
44,40
61,61
48,36
64,35
21,22
78,96
51,57
62,64
55,81
58,60
35,60
17,17
60,35
41,35
36,65
55,43
49,80
53,58
30,37
19,37
55,74
37,30
0,0
17,22
21,40
59,53
35,74
78,92
45,41
30,60
52,74
40,67
55,73
18,14
13,18
44,77
39,41
93,98
35,18
79,61
36,71
10,37
20,37
14,30
35,30
8,40
63,75
35,8
30,30
35,35
40,50
6,10
22,19
20,18
30,81
70,79
49,30
44,76
54,47
46,63
41,40
30,22
6,10
67,70
6,35
48,85
77,96
30,35
81,85
35,30
30,30
36,16
49,62
30,15
37,35
50,48
16,15
62,53
12,18
43,20
60,73
37,35
44,30
53,82
81,92
43,57
35,46
23,30
35,30
50,79
30,35
86,81
6,10
10,50
43,37
64,76
50,58
35,68
62,52
19,15
61,70
42,47
17,21
36,38
12,37
16,9
13,21
14,35
73,82
62,79
18,12
30,10
84,83
30,62
18,19
47,36
35,50
8,18
47,30
77,88
49,30
80,97
55,59
19,56
88,99
65,81
22,11
0,0
31,35
53,75
58,84
37,23
30,56
30,21
0,0
62,87
59,69
30,47
22,53
30,54
44,40
53,54
41,38
38,54
52,40
56,57
35,35
37,30
11,37
36,37
35,39
65,80
30,30
65,53
36,0
18,36
36,22
63,41
50,35
81,75
61,68
64,65
15,35
67,40
12,10
85,91
82,58
2,1
20,42
61,58
35,41
17,35
63,64
12,50
41,46
14,10
61,35
