English_Marks,Kannada_Marks
51,90
36,60
55,46
61,16
8,6
35,8
65,67
48,13
9,15
35,88
5,3
40,11
106,94
0,0
11,17
42,62
19,35
16,16
75,57
30,47
43,68
60,85
78,54
11,7
35,10
15,62
9,5
46,47
50,51
55,17
61,38
36,44
35,20
120,94
60,96
35,54
30,50
83,60
106,97
55,60
30,51
63,13
17,53
35,42
0,0
35,48
36,20
35,38
55,30
54,67
38,8
35,35
35,6
44,14
69,52
3,5
87,80
30,106
76,63
71,98
35,0
35,46
76,83
88,56
95,74
87,92
78,117
14,12
30,57
74,88
16,35
53,61
12,2
40,81
37,17
11,14
85,68
71,32
45,82
92,90
44,35
42,18
39,57
85,105
44,35
7,20
63,68
85,106
6,3
94,75
75,67
51,50
50,76
72,44
30,61
35,11
107,78
30,47
18,46
80,87
37,70
50,13
56,39
112,90
35,20
8,13
35,8
35,47
51,79
65,35
35,31
77,99
30,44
96,46
58,104
42,102
0,61
76,73
112,63
104,98
35,5
78,73
17,10
66,108
78,80
35,5
51,56
43,61
8,33
92,86
35,5
82,83
58,38
40,57
55,47
67,47
84,55
120,97
38,7
75,53
37,21
109,77
35,29
80,99
12,31
82,41
38,42
30,64
50,100
41,13
90,103
38,86
38,72
90,96
62,60
55,39
11,9
35,83
35,47
90,30
101,74
72,70
46,82
30,62
9,10
85,85
94,35
0,0
23,35
35,6
61,86
40,82
90,60
37,30
73,53
35,38
67,50
73,60
35,57
38,17
78,86
60,73
98,123
47,50
52,91
35,5
16,4
35,48
35,19
35,49
7,35
92,38
35,4
44,40
48,21
122,62
35,30
53,46
18,42
48,93
75,92
35,13
91,86
35,86
89,79
45,16
11,54
11,36
65,102
22,8
97,82
91,102
35,44
82,104
58,18
43,62
35,44
113,85
7,9
35,46
40,38
35,44
81,52
38,6
15,38
55,6
37,108
53,44
111,93
98,106
30,38
30,72
35,7
30,65
58,82
35,6
93,93
9,19
35,11
41,30
77,68
52,38
103,61
36,53
19,5
85,82
110,43
16,19
30,92
35,60
8,2
4,5
55,52
76,77
69,98
35,17
35,31
89,89
30,49
52,15
30,71
0,53
17,20
35,30
80,113
30,38
90,115
53,56
33,38
96,93
30,73
11,38
0,0
45,61
89,76
103,83
53,18
99,65
35,11
0,0
85,77
90,71
57,76
100,35
30,56
30,38
43,79
35,44
51,10
49,65
61,47
45,35
11,39
35,3
80,62
48,70
37,0
90,12
84,89
10,0
44,5
36,3
61,100
57,83
35,68
100,93
70,92
13,52
31,72
35,35
94,118
41,83
7,2
50,35
110,88
30,46
35,44
58,89
17,20
30,38
9,4
54,44
52,66
11,6
58,50
44,14
71,39
47,95
77,92
32,65
35,15
35,8
82,89
46,60
16,75
6,7
44,95
77,93
106,90
46,35
35,13
35,48
81,81
70,61
72,84
53,2
35,56
21,38
7,28
52,86
41,51
15,13
35,34
63,75
35,15
30,52
60,87
87,92
35,28
83,84
60,18
30,58
95,42
35,20
30,70
35,44
77,61
19,45
46,36
86,76
121,98
45,89
13,65
35,44
35,22
43,4
92,101
85,NT
41,12
35,50
87,83
19,3
61,63
10,8
111,30
44,38
41,38
92,81
56,12
76,91
35,44
35,62
108,84
88,60
14,7
42,39
93,112
72,30
67,82
111,94
107,93
35,58
0,0
0,4
35,44
86,89
35,35
10,70
96,84
41,86
98,90
52,100
41,65
35,44
35,14
53,58
0,35
35,68
35,53
35,16
68,75
30,54
74,77
74,109
30,59
93,116
35,21
53,77
35,47
0,NT
98,122
74,38
7,7
19,62
78,61
12,45
44,85
50,85
30,76
77,38
44,35
0,0
52,5
60,62
48,56
104,99
6,66
30,55
56,38
58,35
38,65
42,90
45,82
30,82
35,25
0,0
57,7
56,53
96,110
0,0
96,54
56,46
89,76
30,71
91,111
20,35
45,56
96,99
61,9
79,44
47,50
82,88
65,51
107,43
18,31
48,90
95,66
66,72
97,94
73,102
87,91
56,50
88,70
9,18
19,87
75,77
85,70
89,53
105,89
30,45
89,93
97,112
117,98
61,100
41,81
30,103
30,58
81,49
93,87
41,29
86,70
41,50
68,44
81,55
39,30
79,80
41,81
62,14
67,72
65,80
0,0
50,60
71,55
41,44
0,0
35,96
13,28
96,114
83,44
44,80
48,45
91,101
103,39
35,8
91,116
50,5
96,75
57,88
35,34
112,35
95,98
0,0
2,1
94,98
62,38
30,80
65,14
83,80
81,75
73,79
52,63
63,8
69,35
94,52
51,62
38,55
98,41
35,24
68,92
82,82
35,20
93,98
76,52
10,21
58,39
66,47
40,61
0,0
111,80
35,14
90,35
15,21
35,46
91,46
7,23
101,99
97,113
119,98
36,14
56,44
35,43
35,14
56,83
50,80
44,0
81,63
94,97
121,93
116,92
87,53
35,35
82,119
97,77
86,86
81,56
40,84
75,65
120,94
98,38
10,47
8,47
84,60
81,70
71,60
88,76
75,66
110,99
35,21
81,80
98,45
116,91
58,107
112,94
103,83
41,9
110,97
56,52
11,6
95,101
35,81
87,40
96,109
43,38
74,100
30,69
96,35
90,97
58,38
47,76
93,68
60,44
75,54
40,68
69,97
5,4
35,38
69,89
61,96
102,91
74,75
54,83
30,71
50,71
50,82
99,90
35,32
35,49
10,38
91,88
87,80
56,38
46,86
85,92
86,62
30,44
69,64
0,0
83,66
63,53
87,85
88,99
45,12
56,35
90,108
85,85
44,12
30,59
95,115
19,9
47,45
75,45
59,30
30,52
30,77
83,40
105,63
35,46
68,39
103,80
45,48
47,58
83,83
35,73
38,83
53,64
12,3
80,71
35,35
96,99
35,6
109,89
37,14
6,9
84,69
88,76
11,24
110,72
10,35
117,93
74,12
101,83
90,98
19,16
86,84
78,46
83,53
48,8
34,35
109,67
49,35
46,67
81,76
85,85
76,44
53,47
7,3
69,47
30,95
49,12
93,116
19,44
100,75
14,19
79,56
35,21
76,3
65,67
80,77
98,96
43,98
19,35
45,35
30,104
89,86
30,44
30,73
97,118
78,60
57,35
57,35
65,67
45,35
111,92
64,85
86,87
71,54
48,30
0,0
92,121
94,94
44,60
13,7
55,39
80,90
87,81
98,97
107,90
51,104
100,90
81,35
25,35
60,38
88,109
3,6
96,78
45,50
107,55
11,29
56,26
91,113
88,98
99,99
54,40
14,17
43,22
38,45
50,53
65,72
54,18
46,65
12,47
17,3
30,35
82,79
82,94
100,56
44,37
86,103
111,91
70,70
35,44
85,102
88,37
96,108
78,45
88,98
78,44
89,87
80,75
70,104
68,67
35,5
61,44
66,88
46,50
4,5
53,30
57,95
92,91
111,35
50,17
87,106
0,46
36,34
35,15
118,95
86,88
65,20
87,95
19,19
57,75
86,96
97,91
35,25
82,35
62,50
51,6
94,99
0,5
79,85
35,12
73,110
35,23
52,30
44,35
84,118
46,14
55,0
74,78
92,96
35,35
7,35
35,56
100,60
91,109
35,8
43,63
57,67
12,38
71,38
47,21
80,84
35,58
51,30
45,62
57,52
12,35
71,35
48,79
41,15
35,35
86,114
90,94
67,50
84,93
81,103
117,94
94,109
108,95
81,50
38,12
101,93
20,4
94,108
75,35
11,4
80,108
49,30
98,100
51,30
80,76
83,110
71,37
40,94
15,30
80,75
61,105
30,46
87,112
75,118
110,63
85,85
85,46
111,98
115,88
47,57
95,54
4,47
50,92
85,97
57,70
82,78
6,6
47,53
47,67
40,NT
79,90
78,51
115,91
46,35
40,9
38,77
35,10
66,91
75,90
46,19
35,16
98,111
87,93
60,74
95,102
35,39
88,75
35,58
76,82
60,101
78,45
62,59
57,106
93,102
85,87
95,75
67,89
6,63
75,54
47,20
100,78
63,87
40,67
14,44
100,79
46,30
36,32
63,42
17,26
13,10
45,13
49,51
65,67
51,35
30,82
89,80
37,5
83,84
39,30
4,14
88,109
58,51
13,4
19,47
39,55
70,63
15,17
95,116
11,57
NT,49
85,113
83,113
82,114
91,43
97,123
95,108
75,78
70,50
88,37
80,64
94,41
96,88
56,77
35,19
87,73
90,81
30,46
87,99
87,44
16,35
30,30
78,10
73,73
106,99
30,90
114,66
68,93
13,15
35,44
107,38
97,94
71,90
35,7
101,83
114,97
86,96
109,90
81,57
67,90
45,83
13,68
84,108
64,30
0,0
103,44
111,90
76,86
53,73
110,93
60,68
76,67
30,48
93,95
35,9
45,17
92,98
65,108
71,80
35,22
114,99
35,8
3,2
100,74
105,75
76,66
120,88
85,61
35,53
89,88
15,21
50,25
47,72
94,72
74,72
55,46
72,96
57,66
0,0
114,50
59,19
81,54
73,55
45,60
87,107
87,96
35,13
58,59
35,42
93,117
50,86
18,8
73,65
57,65
78,45
42,72
35,8
35,89
86,103
74,110
55,38
91,106
61,53
35,49
98,85
121,40
60,66
80,110
35,46
108,87
111,57
15,24
NT,46
39,48
35,14
100,80
45,30
106,90
42,9
120,97
61,46
35,89
38,1
95,40
55,61
43,75
0,0
62,37
80,84
121,88
115,98
107,93
92,90
87,81
12,24
35,66
94,106
0,0
92,93
45,87
57,30
41,104
35,6
52,68
87,95
100,50
93,91
100,76
58,102
12,26
35,5
67,80
13,16
94,75
80,92
70,38
77,66
65,37
56,35
30,84
103,93
35,44
83,91
91,35
