Kannada_Marks,Hindi_Marks
90,39
60,40
46,12
16,36
6,12
8,NT
67,47
13,10
15,18
88,30
3,8
11,40
94,70
0,0
17,17
62,39
35,38
16,35
57,74
47,35
68,9
85,50
54,35
7,NT
10,35
62,35
5,NT
47,45
51,35
17,15
38,43
44,50
20,35
94,76
96,31
54,17
50,35
60,35
97,89
60,36
51,51
13,35
53,15
42,NT
0,NT
48,38
20,7
38,41
30,41
67,61
8,35
35,NT
6,9
14,47
52,57
5,10
80,47
106,35
63,36
98,44
0,35
46,40
83,41
56,56
74,35
92,61
117,83
12,11
57,37
88,71
35,13
61,30
2,11
81,49
17,13
14,17
68,NT
32,8
82,42
90,75
35,35
18,35
57,35
105,87
35,35
20,12
68,60
106,69
3,10
75,51
67,76
50,35
76,40
44,46
61,48
11,35
78,81
47,40
46,35
87,70
70,55
13,35
39,30
90,68
20,19
13,16
8,12
47,35
79,65
35,5
31,19
99,85
44,40
46,10
104,74
102,54
61,49
73,67
63,74
98,60
5,35
73,68
10,5
108,74
80,75
5,40
56,30
61,55
33,10
86,72
5,11
83,73
38,40
57,13
47,35
47,46
55,35
97,89
7,35
53,55
21,35
77,35
29,35
99,58
31,35
41,41
42,41
64,35
100,54
13,35
103,86
86,75
72,54
96,91
60,NT
39,35
9,NT
83,35
47,14
30,42
74,67
70,61
82,71
62,30
10,9
85,60
35,35
0,0
35,10
6,6
86,67
82,14
60,62
30,NT
53,60
38,30
50,35
60,60
57,9
17,NT
86,49
73,30
123,98
50,19
91,67
5,35
4,9
48,35
19,NT
49,35
35,16
38,48
4,35
40,NT
21,20
62,30
30,45
46,11
42,19
93,64
92,60
13,17
86,78
86,67
79,59
16,35
54,15
36,NT
102,70
8,18
82,79
102,89
44,35
104,84
18,42
62,74
44,35
85,70
9,10
46,30
38,30
44,35
52,50
6,35
38,10
6,57
108,35
44,30
93,75
106,98
38,42
72,30
7,38
65,30
82,46
6,35
93,115
19,10
11,15
30,NT
68,75
38,30
61,39
53,45
5,6
82,86
43,35
19,8
92,31
60,12
2,7
5,9
52,14
77,91
98,71
17,NT
31,35
89,85
49,30
15,14
71,30
53,0
20,35
30,NT
113,90
38,47
115,93
56,62
38,60
93,NT
73,35
38,10
0,0
61,37
76,65
83,46
18,14
65,35
11,35
0,NT
77,43
71,64
76,30
35,13
56,30
38,35
79,79
44,37
10,35
65,30
47,43
35,35
39,35
3,35
62,74
70,30
0,50
12,14
89,70
0,NT
5,19
3,8
100,72
83,54
68,70
93,80
92,71
52,35
72,40
35,NT
118,88
83,65
2,5
35,NT
88,85
46,45
44,35
89,42
20,39
