Science_Marks,SocialScience_Marks
30,60
35,46
19,18
68,61
20,19
38,21
48,67
21,17
35,36
52,66
20,6
53,23
58,74
0,0
16,45
39,36
21,16
35,12
48,85
35,53
20,35
51,64
70,88
19,11
21,14
9,35
15,9
61,69
30,30
35,71
55,47
30,44
14,36
48,68
51,68
30,37
35,30
25,35
66,91
48,60
30,44
36,78
27,35
11,39
0,0
43,30
30,35
40,42
41,30
40,67
48,56
20,19
27,21
50,35
35,62
5,4
66,66
35,72
30,39
37,60
0,0
30,57
38,80
76,85
35,41
48,44
69,81
16,12
37,57
59,63
7,1
35,41
11,9
51,54
19,10
14,22
51,72
19,45
35,57
59,47
8,59
30,42
40,43
61,87
0,0
45,35
48,58
42,75
16,12
44,72
67,77
11,24
41,45
50,63
42,52
12,9
74,86
41,40
30,41
65,64
35,30
35,57
35,39
70,75
13,38
17,30
23,6
22,35
35,47
9,54
20,35
61,84
40,35
43,17
49,71
47,68
35,35
70,83
76,76
74,86
38,30
76,75
23,46
69,86
47,59
35,30
49,84
50,44
30,10
51,35
37,36
57,61
47,52
30,35
38,30
35,72
30,13
88,86
13,35
42,48
35,30
21,21
35,35
52,72
21,35
51,40
40,61
46,36
40,35
30,22
51,96
44,57
37,64
72,81
54,60
30,60
16,17
30,35
16,35
46,65
37,43
55,80
46,58
37,37
16,37
50,74
30,30
0,0
16,22
50,40
66,53
40,74
70,92
52,41
41,60
35,74
39,67
52,73
24,14
19,18
53,77
30,41
97,98
25,18
62,61
35,71
35,37
22,37
19,30
35,30
30,40
55,75
8,8
38,30
35,35
57,50
5,10
23,19
25,18
40,81
65,79
41,30
30,76
35,47
43,63
45,40
20,22
9,10
45,70
24,35
57,85
78,96
31,35
72,85
32,30
35,30
26,16
47,62
21,15
36,35
35,48
18,15
41,53
30,18
25,20
35,73
30,35
30,30
52,82
81,92
39,57
35,46
22,30
30,30
53,79
38,35
83,81
19,10
35,50
37,37
51,76
35,58
54,68
44,52
16,15
84,70
53,47
24,21
35,38
35,37
18,9
14,21
23,35
48,82
57,79
15,12
20,10
88,83
45,62
35,19
36,36
44,50
9,18
30,30
66,88
35,30
81,97
37,59
24,56
94,99
37,81
19,11
0,0
44,35
75,75
61,84
35,23
47,56
30,21
0,0
71,87
61,69
40,47
36,53
40,54
44,40
58,54
30,38
23,54
36,40
50,57
39,35
37,30
16,37
35,37
35,39
42,80
30,30
59,53
35,0
22,36
13,22
46,41
30,35
59,75
52,68
45,65
14,35
30,40
14,10
93,91
53,58
1,1
20,42
67,58
30,41
16,35
54,64
23,50
42,46
18,10
38,35
66,72
18,37
35,51
40,44
46,66
47,62
55,44
30,50
31,36
40,47
48,53
36,36
17,24
6,9
64,65
53,74
36,46
8,30
42,44
36,35
71,92
41,74
31,71
30,46
30,50
30,53
16,7
48,74
50,44
10,8
35,24
55,63
21,64
30,56
44,65
81,76
30,43
30,81
38,57
37,30
40,61
15,19
30,45
21,12
44,36
7,11
35,24
58,70
85,94
35,30
36,56
